nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MAN 3 ACEH BESAR,10114248,MA,NEGERI,Kec. Indrapuri,060103,Kab. Aceh Besar,060100,Prov. Aceh,060000,0,0,0,0,0,0,0,0,,
MAS AR RABWAH,10110568,MA,SWASTA,Kec. Indrapuri,060103,Kab. Aceh Besar,060100,Prov. Aceh,060000,0,0,0,0,0,0,0,0,,
MAS TGK. CHIEK OEMAR DIYAN,10114249,MA,SWASTA,Kec. Indrapuri,060103,Kab. Aceh Besar,060100,Prov. Aceh,060000,0,0,0,0,0,0,0,0,,
RA/BA/TA RAUDHATUL JANNAH,69728836,RA,SWASTA,Kec. Indrapuri,060103,Kab. Aceh Besar,060100,Prov. Aceh,060000,0,0,0,0,0,0,0,0,,
MTSN 1 ACEH BESAR,10114376,MTs,NEGERI,Kec. Indrapuri,060103,Kab. Aceh Besar,060100,Prov. Aceh,060000,0,0,0,0,0,0,0,0,,
MTSS TGK CHIEK OEMAR DIYAN,10114377,MTs,SWASTA,Kec. Indrapuri,060103,Kab. Aceh Besar,060100,Prov. Aceh,060000,0,0,0,0,0,0,0,0,,
MIN 1 ACEH BESAR,60703119,MI,NEGERI,Kec. Indrapuri,060103,Kab. Aceh Besar,060100,Prov. Aceh,060000,0,0,0,0,0,0,0,0,,
MIN 17 ACEH BESAR,10100244,MI,NEGERI,Kec. Indrapuri,060103,Kab. Aceh Besar,060100,Prov. Aceh,060000,0,0,0,0,0,0,0,0,,
MIN 23 ACEH BESAR,60703118,MI,NEGERI,Kec. Indrapuri,060103,Kab. Aceh Besar,060100,Prov. Aceh,060000,0,0,0,0,0,0,0,0,,
MIN 6 ACEH BESAR,60703120,MI,NEGERI,Kec. Indrapuri,060103,Kab. Aceh Besar,060100,Prov. Aceh,060000,0,0,0,0,0,0,0,0,,
MIN 7 ACEH BESAR,60703122,MI,NEGERI,Kec. Indrapuri,060103,Kab. Aceh Besar,060100,Prov. Aceh,060000,0,0,0,0,0,0,0,0,,
