nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MAN 5 ACEH UTARA,10113727,MA,NEGERI,Kec. Kuta Makmur,060303,Kab. Aceh Utara,060300,Prov. Aceh,060000,0,0,0,0,0,0,0,0,,
MAS KUTAMAKMUR,10113728,MA,SWASTA,Kec. Kuta Makmur,060303,Kab. Aceh Utara,060300,Prov. Aceh,060000,0,0,0,0,0,0,0,0,,
RA/BA/TA RA.BANTIMOH,69728882,RA,SWASTA,Kec. Kuta Makmur,060303,Kab. Aceh Utara,060300,Prov. Aceh,060000,0,0,0,0,0,0,0,0,,
MIN 22 ACEH UTARA,60703232,MI,NEGERI,Kec. Kuta Makmur,060303,Kab. Aceh Utara,060300,Prov. Aceh,060000,0,0,0,0,0,0,0,0,,
MIN 23 ACEH UTARA,60703230,MI,NEGERI,Kec. Kuta Makmur,060303,Kab. Aceh Utara,060300,Prov. Aceh,060000,0,0,0,0,0,0,0,0,,
MIN 24 ACEH UTARA,60703231,MI,NEGERI,Kec. Kuta Makmur,060303,Kab. Aceh Utara,060300,Prov. Aceh,060000,0,0,0,0,0,0,0,0,,
MIN 35 ACEH UTARA,60729427,MI,NEGERI,Kec. Kuta Makmur,060303,Kab. Aceh Utara,060300,Prov. Aceh,060000,0,0,0,0,0,0,0,0,,
MIS BEUREUGHANG,60703233,MI,SWASTA,Kec. Kuta Makmur,060303,Kab. Aceh Utara,060300,Prov. Aceh,060000,0,0,0,0,0,0,0,0,,
MTSN 6 ACEH UTARA,10114439,MTs,NEGERI,Kec. Kuta Makmur,060303,Kab. Aceh Utara,060300,Prov. Aceh,060000,0,0,0,0,0,0,0,0,,
MTSS BAYU,10110626,MTs,SWASTA,Kec. Kuta Makmur,060303,Kab. Aceh Utara,060300,Prov. Aceh,060000,0,0,0,0,0,0,0,0,,
MTSS DARUL ULUM,60729618,MTs,SWASTA,Kec. Kuta Makmur,060303,Kab. Aceh Utara,060300,Prov. Aceh,060000,0,0,0,0,0,0,0,0,,
MTSS NURUL ISLAM,10114441,MTs,SWASTA,Kec. Kuta Makmur,060303,Kab. Aceh Utara,060300,Prov. Aceh,060000,0,0,0,0,0,0,0,0,,
