nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MTSS AL-MA`RUF,50105678,MTs,SWASTA,Kec. Denpasar Utara,226004,Kota Denpasar,226000,Prov. Bali,220000,0,0,0,0,0,0,0,0,,
MTSS MIFTAHUL ULUM,50105677,MTs,SWASTA,Kec. Denpasar Utara,226004,Kota Denpasar,226000,Prov. Bali,220000,0,0,0,0,0,0,0,0,,
RA AL MARUF,69753474,RA,SWASTA,Kec. Denpasar Utara,226004,Kota Denpasar,226000,Prov. Bali,220000,0,0,0,0,0,0,0,0,,
RA AL-MA'RUF MODERN,70059753,RA,SWASTA,Kec. Denpasar Utara,226004,Kota Denpasar,226000,Prov. Bali,220000,0,0,0,0,0,0,0,0,,
RA DARUSSALAM,70031131,RA,SWASTA,Kec. Denpasar Utara,226004,Kota Denpasar,226000,Prov. Bali,220000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-MIFTAH,69750189,RA,SWASTA,Kec. Denpasar Utara,226004,Kota Denpasar,226000,Prov. Bali,220000,0,0,0,0,0,0,0,0,,
MAS AL-MA`RUF,50105606,MA,SWASTA,Kec. Denpasar Utara,226004,Kota Denpasar,226000,Prov. Bali,220000,0,0,0,0,0,0,0,0,,
MI AL-MA'RUF MODERN,70059626,MI,SWASTA,Kec. Denpasar Utara,226004,Kota Denpasar,226000,Prov. Bali,220000,0,0,0,0,0,0,0,0,,
MI DARUSSALAM,70031132,MI,SWASTA,Kec. Denpasar Utara,226004,Kota Denpasar,226000,Prov. Bali,220000,0,0,0,0,0,0,0,0,,
MIS AL-MA`RUF,60721576,MI,SWASTA,Kec. Denpasar Utara,226004,Kota Denpasar,226000,Prov. Bali,220000,0,0,0,0,0,0,0,0,,
MIS AL-MIFTAH,60721575,MI,SWASTA,Kec. Denpasar Utara,226004,Kota Denpasar,226000,Prov. Bali,220000,0,0,0,0,0,0,0,0,,
