nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MAS AR-RAHMAN,69788106,MA,SWASTA,Kec. Bojongmanik,280209,Kab. Lebak,280200,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
RA AT-TAWAKAL,69885439,RA,SWASTA,Kec. Bojongmanik,280209,Kab. Lebak,280200,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
MTSS AL-FATWA,69977925,MTs,SWASTA,Kec. Bojongmanik,280209,Kab. Lebak,280200,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
MTSS AR-RAHMAN,69895195,MTs,SWASTA,Kec. Bojongmanik,280209,Kab. Lebak,280200,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
MIS AL-FATWA,70009353,MI,SWASTA,Kec. Bojongmanik,280209,Kab. Lebak,280200,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
MIS AL-HUDA CIPAYANGGU,69895463,MI,SWASTA,Kec. Bojongmanik,280209,Kab. Lebak,280200,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
MIS AL-IDRUS CIBEUNYEUR,69894712,MI,SWASTA,Kec. Bojongmanik,280209,Kab. Lebak,280200,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
MIS AT-TAWAKKAL,70007092,MI,SWASTA,Kec. Bojongmanik,280209,Kab. Lebak,280200,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
MIS MATHLAUL ANWAR NANGERANG,69956238,MI,SWASTA,Kec. Bojongmanik,280209,Kab. Lebak,280200,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
MIS NURUL HUSNA,69886354,MI,SWASTA,Kec. Bojongmanik,280209,Kab. Lebak,280200,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
