nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
AL MADANI,69898377,RA,SWASTA,Kec. Batuceper,286105,Kota Tangerang,286100,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
AN-NAJWAH,69898381,RA,SWASTA,Kec. Batuceper,286105,Kota Tangerang,286100,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
AN-NISA,69898387,RA,SWASTA,Kec. Batuceper,286105,Kota Tangerang,286100,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
ANWARUL  ULUM,69898378,RA,SWASTA,Kec. Batuceper,286105,Kota Tangerang,286100,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
BAITURROHMI,69898384,RA,SWASTA,Kec. Batuceper,286105,Kota Tangerang,286100,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
CITA INSANI,69898382,RA,SWASTA,Kec. Batuceper,286105,Kota Tangerang,286100,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
HAYA BINA INSANI,69898385,RA,SWASTA,Kec. Batuceper,286105,Kota Tangerang,286100,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
MADARIZUL ULUM,69898380,RA,SWASTA,Kec. Batuceper,286105,Kota Tangerang,286100,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
RA AL KARIM,69898375,RA,SWASTA,Kec. Batuceper,286105,Kota Tangerang,286100,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
RA AL-ARIFIN,69898383,RA,SWASTA,Kec. Batuceper,286105,Kota Tangerang,286100,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
RA MARIA ULFAH,69898379,RA,SWASTA,Kec. Batuceper,286105,Kota Tangerang,286100,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
RA NURUL YAQIN,69898376,RA,SWASTA,Kec. Batuceper,286105,Kota Tangerang,286100,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
RA ULUL AZMI,69977974,RA,SWASTA,Kec. Batuceper,286105,Kota Tangerang,286100,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
RA. ADINDA,69887999,RA,SWASTA,Kec. Batuceper,286105,Kota Tangerang,286100,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
RA. AL FUAD,69887983,RA,SWASTA,Kec. Batuceper,286105,Kota Tangerang,286100,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
RA. AL KHOIRIYAH,69887995,RA,SWASTA,Kec. Batuceper,286105,Kota Tangerang,286100,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
RA. AL-FAJAR,69887993,RA,SWASTA,Kec. Batuceper,286105,Kota Tangerang,286100,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
RA. AL-IMRON,69887987,RA,SWASTA,Kec. Batuceper,286105,Kota Tangerang,286100,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
RA. AL-IRNUSIYAH,69887989,RA,SWASTA,Kec. Batuceper,286105,Kota Tangerang,286100,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
RA. AL-KAUTSAR,69888002,RA,SWASTA,Kec. Batuceper,286105,Kota Tangerang,286100,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
RA. AL-MUBAYYINAT,69887985,RA,SWASTA,Kec. Batuceper,286105,Kota Tangerang,286100,Prov. Banten,280000,0,0,0,0,0,0,0,0,,
