nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MADRASAH IBTIDAIYAH AN NAHL,69957775,MI,SWASTA,Kec. Kembangan,016201,Kota Adm. Jakarta Barat,016200,Prov. D.K.I. Jakarta,010000,0,0,0,0,0,0,0,0,,
MADRASAH IBTIDAIYAH RAUDHATUL JANNAH,60706474,MI,SWASTA,Kec. Kembangan,016201,Kota Adm. Jakarta Barat,016200,Prov. D.K.I. Jakarta,010000,0,0,0,0,0,0,0,0,,
MI HIDAYATUL ANWAR,70028983,MI,SWASTA,Kec. Kembangan,016201,Kota Adm. Jakarta Barat,016200,Prov. D.K.I. Jakarta,010000,0,0,0,0,0,0,0,0,,
MI HIDAYATUL ISTIQOMAH,60706482,MI,SWASTA,Kec. Kembangan,016201,Kota Adm. Jakarta Barat,016200,Prov. D.K.I. Jakarta,010000,0,0,0,0,0,0,0,0,,
MI MI TERPADU AL IRSYAAD,69975760,MI,SWASTA,Kec. Kembangan,016201,Kota Adm. Jakarta Barat,016200,Prov. D.K.I. Jakarta,010000,0,0,0,0,0,0,0,0,,
MI PEMBANGUNAN YAPIRI,60706485,MI,SWASTA,Kec. Kembangan,016201,Kota Adm. Jakarta Barat,016200,Prov. D.K.I. Jakarta,010000,0,0,0,0,0,0,0,0,,
MI RAUDLATUL MUTAALIMIN,60706481,MI,SWASTA,Kec. Kembangan,016201,Kota Adm. Jakarta Barat,016200,Prov. D.K.I. Jakarta,010000,0,0,0,0,0,0,0,0,,
MI RIAYATUL UMMAH,69755510,MI,SWASTA,Kec. Kembangan,016201,Kota Adm. Jakarta Barat,016200,Prov. D.K.I. Jakarta,010000,0,0,0,0,0,0,0,0,,
MI TARBIYATUS SAADAH,60706477,MI,SWASTA,Kec. Kembangan,016201,Kota Adm. Jakarta Barat,016200,Prov. D.K.I. Jakarta,010000,0,0,0,0,0,0,0,0,,
MIN 19 JAKARTA,60706472,MI,NEGERI,Kec. Kembangan,016201,Kota Adm. Jakarta Barat,016200,Prov. D.K.I. Jakarta,010000,0,0,0,0,0,0,0,0,,
MIS AL AMANAH,60706476,MI,SWASTA,Kec. Kembangan,016201,Kota Adm. Jakarta Barat,016200,Prov. D.K.I. Jakarta,010000,0,0,0,0,0,0,0,0,,
MIS AL HASYIMIYAH,60706483,MI,SWASTA,Kec. Kembangan,016201,Kota Adm. Jakarta Barat,016200,Prov. D.K.I. Jakarta,010000,0,0,0,0,0,0,0,0,,
MIS AL HIDAYAH,60706478,MI,SWASTA,Kec. Kembangan,016201,Kota Adm. Jakarta Barat,016200,Prov. D.K.I. Jakarta,010000,0,0,0,0,0,0,0,0,,
MIS AL HUSNA,60706484,MI,SWASTA,Kec. Kembangan,016201,Kota Adm. Jakarta Barat,016200,Prov. D.K.I. Jakarta,010000,0,0,0,0,0,0,0,0,,
MIS AL MUBARAK,60706475,MI,SWASTA,Kec. Kembangan,016201,Kota Adm. Jakarta Barat,016200,Prov. D.K.I. Jakarta,010000,0,0,0,0,0,0,0,0,,
MIS AL-MUJAHIDIN,60706479,MI,SWASTA,Kec. Kembangan,016201,Kota Adm. Jakarta Barat,016200,Prov. D.K.I. Jakarta,010000,0,0,0,0,0,0,0,0,,
MIS TARBIYAH AL ISLAMIYAH,60706473,MI,SWASTA,Kec. Kembangan,016201,Kota Adm. Jakarta Barat,016200,Prov. D.K.I. Jakarta,010000,0,0,0,0,0,0,0,0,,
MIS TARBIYATUL AULAD,60706480,MI,SWASTA,Kec. Kembangan,016201,Kota Adm. Jakarta Barat,016200,Prov. D.K.I. Jakarta,010000,0,0,0,0,0,0,0,0,,
