nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MAS NURUL MA`ARIF,10507934,MA,SWASTA,Kec. Tabir Selatan,100910,Kab. Merangin,100900,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
MTS AL MASHUMIYYAH,70058461,MTs,SWASTA,Kec. Tabir Selatan,100910,Kab. Merangin,100900,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
MTSS AL-MA`ARIF,10508257,MTs,SWASTA,Kec. Tabir Selatan,100910,Kab. Merangin,100900,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
MTSS MIFTAHUL HUDA,10508256,MTs,SWASTA,Kec. Tabir Selatan,100910,Kab. Merangin,100900,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
MTSS NAHDLATUL ARIFIN,70044167,MTs,SWASTA,Kec. Tabir Selatan,100910,Kab. Merangin,100900,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
RA DARUSSALAM,69994302,RA,SWASTA,Kec. Tabir Selatan,100910,Kab. Merangin,100900,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
RA HARAPAN BUNDA,69752501,RA,SWASTA,Kec. Tabir Selatan,100910,Kab. Merangin,100900,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
RA MIFTAHUR ROSYIDIN,69940832,RA,SWASTA,Kec. Tabir Selatan,100910,Kab. Merangin,100900,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
RA/BA/TA NURUL HUDA,69731193,RA,SWASTA,Kec. Tabir Selatan,100910,Kab. Merangin,100900,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
RA/BA/TA RA. AL-HIDAYAH,69731194,RA,SWASTA,Kec. Tabir Selatan,100910,Kab. Merangin,100900,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
RA/BA/TA RA. AL-ISTIQOMAH,69731195,RA,SWASTA,Kec. Tabir Selatan,100910,Kab. Merangin,100900,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
RA/BA/TA RA. KHOIRUNNISA,69731196,RA,SWASTA,Kec. Tabir Selatan,100910,Kab. Merangin,100900,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
RA/BA/TA RA. NURUL IKHLAS,69731197,RA,SWASTA,Kec. Tabir Selatan,100910,Kab. Merangin,100900,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
MI AL MASHUMIYYAH,70058462,MI,SWASTA,Kec. Tabir Selatan,100910,Kab. Merangin,100900,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
MI DARUSSALAM,69994303,MI,SWASTA,Kec. Tabir Selatan,100910,Kab. Merangin,100900,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
MI UNGGULAN MIFTAHURROSYIDIN,70049012,MI,SWASTA,Kec. Tabir Selatan,100910,Kab. Merangin,100900,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
MIS AL-HAFIZH,69853570,MI,SWASTA,Kec. Tabir Selatan,100910,Kab. Merangin,100900,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
MIS TAKHASSUS AL-QUR`AN,69982890,MI,SWASTA,Kec. Tabir Selatan,100910,Kab. Merangin,100900,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
