nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MTSS FARUSSAADAH ARABIYAH,10502061,MTs,SWASTA,Kec. Senyerang,100410,Kab. Tanjung Jabung Barat,100400,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
MTSS NURUDDIEN,10505188,MTs,SWASTA,Kec. Senyerang,100410,Kab. Tanjung Jabung Barat,100400,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
MTSS NURUL HUDA,10502069,MTs,SWASTA,Kec. Senyerang,100410,Kab. Tanjung Jabung Barat,100400,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
MTSS NURUL IMAN,10508456,MTs,SWASTA,Kec. Senyerang,100410,Kab. Tanjung Jabung Barat,100400,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
MIS HIDAYATUL AULAD,60704636,MI,SWASTA,Kec. Senyerang,100410,Kab. Tanjung Jabung Barat,100400,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
MIS NURUL HUDA,60704635,MI,SWASTA,Kec. Senyerang,100410,Kab. Tanjung Jabung Barat,100400,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
MA THORIQUL HUDA,70031530,MA,SWASTA,Kec. Senyerang,100410,Kab. Tanjung Jabung Barat,100400,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
MAS FARUSSAADAH ARABIYAH,10502009,MA,SWASTA,Kec. Senyerang,100410,Kab. Tanjung Jabung Barat,100400,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
MAS NURUDDIEN,70042809,MA,SWASTA,Kec. Senyerang,100410,Kab. Tanjung Jabung Barat,100400,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
MAS NURUL IMAN,10502013,MA,SWASTA,Kec. Senyerang,100410,Kab. Tanjung Jabung Barat,100400,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
