nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
RA BAITURRAHIM,69731144,RA,SWASTA,Kec. Tungkal Ilir,100403,Kab. Tanjung Jabung Barat,100400,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
RA CAHAYA BUNDA,69994294,RA,SWASTA,Kec. Tungkal Ilir,100403,Kab. Tanjung Jabung Barat,100400,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
RA KELUARGA SAKINAH,69731145,RA,SWASTA,Kec. Tungkal Ilir,100403,Kab. Tanjung Jabung Barat,100400,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
RA SA ADATUL ABADIYAH,69731147,RA,SWASTA,Kec. Tungkal Ilir,100403,Kab. Tanjung Jabung Barat,100400,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
RA/BA/TA RA. AL MUSLIMAT,69731143,RA,SWASTA,Kec. Tungkal Ilir,100403,Kab. Tanjung Jabung Barat,100400,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
MIN 1 TANJUNG JABUNG BARAT,60704639,MI,NEGERI,Kec. Tungkal Ilir,100403,Kab. Tanjung Jabung Barat,100400,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
MIS HIDAYATUL IHSAN,60704645,MI,SWASTA,Kec. Tungkal Ilir,100403,Kab. Tanjung Jabung Barat,100400,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
MIS NURUL ISLAM,60704642,MI,SWASTA,Kec. Tungkal Ilir,100403,Kab. Tanjung Jabung Barat,100400,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
MIS NURUSSAADAH,60704647,MI,SWASTA,Kec. Tungkal Ilir,100403,Kab. Tanjung Jabung Barat,100400,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
MIS SAADATUDDARAINI,60704640,MI,SWASTA,Kec. Tungkal Ilir,100403,Kab. Tanjung Jabung Barat,100400,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
MIS TARBIYAH ISLAMIYAH,60704648,MI,SWASTA,Kec. Tungkal Ilir,100403,Kab. Tanjung Jabung Barat,100400,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
MTSN 1 TANJUNG JABUNG BARAT,10502136,MTs,NEGERI,Kec. Tungkal Ilir,100403,Kab. Tanjung Jabung Barat,100400,Prov. Jambi,100000,0,0,0,0,0,0,0,0,,
