nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MA MADRASAH ALIYAH AL - BI`TSAH,70027654,MA,SWASTA,Kec. Margaasih,020820,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MAS AL-BASYARIYAH,20177978,MA,SWASTA,Kec. Margaasih,020820,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MAS DARUL MA`ARIF,20279965,MA,SWASTA,Kec. Margaasih,020820,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MAS MUALLIMIN PERSIS 45 RAHAYU,60728637,MA,SWASTA,Kec. Margaasih,020820,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTS USWATUN HASANAH,70033155,MTs,SWASTA,Kec. Margaasih,020820,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS AL BASHRIYAH,20278135,MTs,SWASTA,Kec. Margaasih,020820,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS AL-BITSAH,20278136,MTs,SWASTA,Kec. Margaasih,020820,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS AL-MAHMUDIYAH,20278139,MTs,SWASTA,Kec. Margaasih,020820,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS DAAR EL-IHSAN,20278137,MTs,SWASTA,Kec. Margaasih,020820,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS DARUL MA`ARIF,20278134,MTs,SWASTA,Kec. Margaasih,020820,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
