nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
AZKIA,69897827,RA,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
KHALIDYA,69897828,RA,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA AL-KAUTSAR,69854567,RA,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA AS SUROYA,70044325,RA,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA AT-THOHAROH,69854568,RA,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA HIMMATUL UMMI,69854566,RA,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-HAQ,69734873,RA,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-HIDAYAH,69734874,RA,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-ITTIHAD,69734875,RA,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-MUNAWAROH,69734876,RA,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA ASHFIYA,69734878,RA,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA BAITUSSALAM,69734880,RA,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA DAARUL QOLAM,69734881,RA,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA HALIMATUS SADIYAH,69734882,RA,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA NURUL FALAH,69734883,RA,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA NURUL HUDA,69734884,RA,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
DAARUL QOLAM,69955680,MA,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MAS IANATUTTHOLIBIN,60728049,MA,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS AL-AZHAR,20278127,MTs,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS AL-HAQ,20278140,MTs,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS AL-IHSANIYAH,20278141,MTs,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS DAARUL QOLAM,20278143,MTs,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS I`ANATUT-THALIBIN,20278142,MTs,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS AL-HAQ,60707803,MI,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS AL-IHSANIYAH,60707804,MI,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS AL-MUNAWAROH,60707805,MI,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS DAARUL QOLAM,60707806,MI,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS I`ANATUT THALIBIN,60707807,MI,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS NURUL FALAH,69927357,MI,SWASTA,Kec. Margahayu,020821,Kab. Bandung,020800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
