nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
RA AN-NUUR,69976020,RA,SWASTA,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA ARROSADIYAH,70048760,RA,SWASTA,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA DAARUL ULUUM LIDO,69940927,RA,SWASTA,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL HIDAYAH,69733275,RA,SWASTA,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-AZHIIM,69733274,RA,SWASTA,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AN NUR,69733276,RA,SWASTA,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA NURUL FALAH,69733277,RA,SWASTA,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MI ARRAHMAN,70037779,MI,SWASTA,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS HIDAYATUSSHIBYAN I,60706727,MI,SWASTA,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS HIDAYATUSSHIBYAN II,60706728,MI,SWASTA,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS MAHFUDIYAH,60706729,MI,SWASTA,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS NUURUL BADRI,70046697,MI,SWASTA,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS RIYADUSSHOLIHIN,69927443,MI,SWASTA,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS SIROJUL ATHFAL,60706730,MI,SWASTA,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTS NU AL-MUHAJIR,70037780,MTs,SWASTA,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS AL FURQONIYAH,20280573,MTs,SWASTA,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS AL HIDAYAH,20280574,MTs,SWASTA,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS AS SULTHAN,69725396,MTs,SWASTA,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS DAARUL ULUUM LIDO,20277455,MTs,SWASTA,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS NURUL HIKMAH,20277456,MTs,SWASTA,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS SA MIFTAHUL AZIZ,20277458,MTs,SWASTA,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS SIROJUL ATHFAL,20277457,MTs,SWASTA,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MAN 4 BOGOR,20280130,MA,NEGERI,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MAS AL FURQONIYAH,20280108,MA,SWASTA,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MAS AL KAHFI,69886185,MA,SWASTA,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MAS AR-RIFA`IAH,69976315,MA,SWASTA,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MAS DAARUL ULUUM LIDO,20280135,MA,SWASTA,Kec. Cigombong,020538,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
