nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
RA AL BAYYINAH PAPANGGUNGAN,69993276,RA,SWASTA,Kec. Cigudeg,020527,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA AL KAROMAH CIGOWONG,69993275,RA,SWASTA,Kec. Cigudeg,020527,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA DARUNNAJAH,69733279,RA,SWASTA,Kec. Cigudeg,020527,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA RA. MATHLAUL ANWAR 07,69733280,RA,SWASTA,Kec. Cigudeg,020527,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA RA. MIFTAHUL ULA,69733281,RA,SWASTA,Kec. Cigudeg,020527,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MATHLAUL ANWAR,60704604,MI,SWASTA,Kec. Cigudeg,020527,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MI HAFIZD AL-WASI,69993277,MI,SWASTA,Kec. Cigudeg,020527,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS AL - KHOERIYAH,60706731,MI,SWASTA,Kec. Cigudeg,020527,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS AL KAROMAH,60706732,MI,SWASTA,Kec. Cigudeg,020527,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS AL KHOERIYAH,60706733,MI,SWASTA,Kec. Cigudeg,020527,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS AL MUHAJIRIN,60706734,MI,SWASTA,Kec. Cigudeg,020527,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS AMIRULLOH,69726155,MI,SWASTA,Kec. Cigudeg,020527,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS AN-NURIYATUL KHOERIYAH,60706735,MI,SWASTA,Kec. Cigudeg,020527,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS ANNUR,69958261,MI,SWASTA,Kec. Cigudeg,020527,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS DARUNNAJAH,60706736,MI,SWASTA,Kec. Cigudeg,020527,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS HIDAYATUL MUBTADIIN,69819499,MI,SWASTA,Kec. Cigudeg,020527,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS HIDAYATUSSHIBYAN,60706737,MI,SWASTA,Kec. Cigudeg,020527,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS MATHLAUL ANWAR,60706740,MI,SWASTA,Kec. Cigudeg,020527,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS MATHLAUL ANWAR,60706739,MI,SWASTA,Kec. Cigudeg,020527,Kab. Bogor,020500,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
