nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
DAARUL HASANAH,69976221,MI,SWASTA,Kec. Panjalu,021429,Kab. Ciamis,021400,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIN 1 CIAMIS,60708447,MI,NEGERI,Kec. Panjalu,021429,Kab. Ciamis,021400,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS AL-HIDAYAH,60708451,MI,SWASTA,Kec. Panjalu,021429,Kab. Ciamis,021400,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS BABUSSALAM,60708452,MI,SWASTA,Kec. Panjalu,021429,Kab. Ciamis,021400,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS HEGARMANAH,60708450,MI,SWASTA,Kec. Panjalu,021429,Kab. Ciamis,021400,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS HUJUNGTIWU 1,60708448,MI,SWASTA,Kec. Panjalu,021429,Kab. Ciamis,021400,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS HUJUNGTIWU II,60708449,MI,SWASTA,Kec. Panjalu,021429,Kab. Ciamis,021400,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MA AL KHOERIYAH,69976343,MA,SWASTA,Kec. Panjalu,021429,Kab. Ciamis,021400,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MAN 5 CIAMIS,20276452,MA,NEGERI,Kec. Panjalu,021429,Kab. Ciamis,021400,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MAS AGROWISATA SHALEHA,20280179,MA,SWASTA,Kec. Panjalu,021429,Kab. Ciamis,021400,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MAS MUSLIMIN,20280181,MA,SWASTA,Kec. Panjalu,021429,Kab. Ciamis,021400,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MAS SIRNARASA,20280196,MA,SWASTA,Kec. Panjalu,021429,Kab. Ciamis,021400,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSN 6 CIAMIS,20211871,MTs,NEGERI,Kec. Panjalu,021429,Kab. Ciamis,021400,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS AL HIDAYAH CIOMAS,20278686,MTs,SWASTA,Kec. Panjalu,021429,Kab. Ciamis,021400,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS AL MANSUR HUJUNGTIWU,20278688,MTs,SWASTA,Kec. Panjalu,021429,Kab. Ciamis,021400,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS BAHRUL ULUM,20278689,MTs,SWASTA,Kec. Panjalu,021429,Kab. Ciamis,021400,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS MUSLIMIN PANJALU,20278687,MTs,SWASTA,Kec. Panjalu,021429,Kab. Ciamis,021400,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
