nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MAS TERPADU SUWARGI BUWANA DJATI,20280277,MA,SWASTA,Kec. Greged,021741,Kab. Cirebon,021700,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS AKRIMUDIN,60726914,MI,SWASTA,Kec. Greged,021741,Kab. Cirebon,021700,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS AL - MAIJAH,60708630,MI,SWASTA,Kec. Greged,021741,Kab. Cirebon,021700,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS AL-HIDAYAH,60708629,MI,SWASTA,Kec. Greged,021741,Kab. Cirebon,021700,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA  MIFTAHUL ULUM,69884455,RA,SWASTA,Kec. Greged,021741,Kab. Cirebon,021700,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA AKRIMUDDIN,69736605,RA,SWASTA,Kec. Greged,021741,Kab. Cirebon,021700,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA AL HIDAYAH,69736606,RA,SWASTA,Kec. Greged,021741,Kab. Cirebon,021700,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA AL MAIJAH,69736607,RA,SWASTA,Kec. Greged,021741,Kab. Cirebon,021700,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA MIFTAHUL HUDA,69736608,RA,SWASTA,Kec. Greged,021741,Kab. Cirebon,021700,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA NURUL HIDAYAH,69736610,RA,SWASTA,Kec. Greged,021741,Kab. Cirebon,021700,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA. AS-SAADAH,69884453,RA,SWASTA,Kec. Greged,021741,Kab. Cirebon,021700,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA. DARURROHIM,69884454,RA,SWASTA,Kec. Greged,021741,Kab. Cirebon,021700,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA. HIDAYATUS SHIBYAN,69884452,RA,SWASTA,Kec. Greged,021741,Kab. Cirebon,021700,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS AL MAIJAH,20278818,MTs,SWASTA,Kec. Greged,021741,Kab. Cirebon,021700,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS AL-BAROKAH,69883317,MTs,SWASTA,Kec. Greged,021741,Kab. Cirebon,021700,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS MIFTAHUL ULUM,20278819,MTs,SWASTA,Kec. Greged,021741,Kab. Cirebon,021700,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS MIFTAHUL ULUM,70004164,MTs,SWASTA,Kec. Greged,021741,Kab. Cirebon,021700,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS NURUL FALAH,20278820,MTs,SWASTA,Kec. Greged,021741,Kab. Cirebon,021700,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSSDARUL MUTTAQIN,69927520,MTs,SWASTA,Kec. Greged,021741,Kab. Cirebon,021700,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
