nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MTSN 1 INDRAMAYU,20279046,MTs,NEGERI,Kec. Karangampel,021810,Kab. Indramayu,021800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS AL-MA ARIF KARANG AMPEL,20279047,MTs,SWASTA,Kec. Karangampel,021810,Kab. Indramayu,021800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS DARUL ULUM,60708895,MI,SWASTA,Kec. Karangampel,021810,Kab. Indramayu,021800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS HIDAYATUS SALAFIYAH,60726929,MI,SWASTA,Kec. Karangampel,021810,Kab. Indramayu,021800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS MIFTAHUL ULUM II,60708896,MI,SWASTA,Kec. Karangampel,021810,Kab. Indramayu,021800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS RAUDLATUT THULLAB UNDERAN,60708897,MI,SWASTA,Kec. Karangampel,021810,Kab. Indramayu,021800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MAN 2 INDRAMAYU,20280361,MA,NEGERI,Kec. Karangampel,021810,Kab. Indramayu,021800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA EDUCATION INDONESIA,70029247,RA,SWASTA,Kec. Karangampel,021810,Kab. Indramayu,021800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA NURUL HIDAYAH,69737258,RA,SWASTA,Kec. Karangampel,021810,Kab. Indramayu,021800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA TANWIRUL ATHFAL,69897906,RA,SWASTA,Kec. Karangampel,021810,Kab. Indramayu,021800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL AMIN,69737251,RA,SWASTA,Kec. Karangampel,021810,Kab. Indramayu,021800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL HIDAYAH,69737252,RA,SWASTA,Kec. Karangampel,021810,Kab. Indramayu,021800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL ISTIQOMAH,69737253,RA,SWASTA,Kec. Karangampel,021810,Kab. Indramayu,021800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA HIKMATULLAH,69737254,RA,SWASTA,Kec. Karangampel,021810,Kab. Indramayu,021800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA MAS UDIYAH,69737255,RA,SWASTA,Kec. Karangampel,021810,Kab. Indramayu,021800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA MIFTAHUL HUDA,69737256,RA,SWASTA,Kec. Karangampel,021810,Kab. Indramayu,021800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA MIFTAHUL MUBTADIIN,69737257,RA,SWASTA,Kec. Karangampel,021810,Kab. Indramayu,021800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA YASIIN,69737259,RA,SWASTA,Kec. Karangampel,021810,Kab. Indramayu,021800,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
