nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
ARRAHMAT,69976350,MA,SWASTA,Kec. Palasah,021613,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MAS MANBA`UL HUDA,20277243,MA,SWASTA,Kec. Palasah,021613,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RIYADUL HUDA,69955707,MA,SWASTA,Kec. Palasah,021613,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MADRASAH TSANAWIYAH RIYADUL HUDA,69955940,MTs,SWASTA,Kec. Palasah,021613,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSN 13 MAJALENGKA,20278932,MTs,NEGERI,Kec. Palasah,021613,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS AL-HIDAYAH PALASAH,20278934,MTs,SWASTA,Kec. Palasah,021613,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS SYAFI`IYAH,20278933,MTs,SWASTA,Kec. Palasah,021613,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MI PLUS NURUL HIKMAH,70060633,MI,SWASTA,Kec. Palasah,021613,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIN 5 MAJALENGKA,60708770,MI,NEGERI,Kec. Palasah,021613,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
ASMAUL HUSNA,69958015,RA,SWASTA,Kec. Palasah,021613,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA HUBBALLILLAAH MAJALENGKA,70007439,RA,SWASTA,Kec. Palasah,021613,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL - HIDAYAH,69736975,RA,SWASTA,Kec. Palasah,021613,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-HURIYYAH,69736973,RA,SWASTA,Kec. Palasah,021613,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-MUHAJIRIN,69736974,RA,SWASTA,Kec. Palasah,021613,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AR-ROHMAN,69736977,RA,SWASTA,Kec. Palasah,021613,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AT-THALIBIN,69736978,RA,SWASTA,Kec. Palasah,021613,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA HIDAYATUL MUBTADI`IN,69736979,RA,SWASTA,Kec. Palasah,021613,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA NURUL HIKMAH,69736981,RA,SWASTA,Kec. Palasah,021613,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA RIJALULLAH,69736983,RA,SWASTA,Kec. Palasah,021613,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
