nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MIS AL- MUJAHIDIN,60708778,MI,SWASTA,Kec. Sumberjaya,021621,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS MIFTAHUL HUDA,60708779,MI,SWASTA,Kec. Sumberjaya,021621,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS PLUS ISTIQOMAH,69976234,MI,SWASTA,Kec. Sumberjaya,021621,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS AL - ISHLAH GARAWANGI,20278947,MTs,SWASTA,Kec. Sumberjaya,021621,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS NURUL HUDA,20278946,MTs,SWASTA,Kec. Sumberjaya,021621,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS PRAKARYA PUI PANJALIN,20278945,MTs,SWASTA,Kec. Sumberjaya,021621,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
ANNUR,69976126,RA,SWASTA,Kec. Sumberjaya,021621,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA AL-BAROKAH,69940977,RA,SWASTA,Kec. Sumberjaya,021621,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA DAARUL FAJRI,69940976,RA,SWASTA,Kec. Sumberjaya,021621,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL FALAAH,69737014,RA,SWASTA,Kec. Sumberjaya,021621,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-MUSLIMAH,69737013,RA,SWASTA,Kec. Sumberjaya,021621,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA BAITURRAHIEM,69737015,RA,SWASTA,Kec. Sumberjaya,021621,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA ISTIQOMAH,69737016,RA,SWASTA,Kec. Sumberjaya,021621,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MA PLUS ISTIQOMAH,70049123,MA,SWASTA,Kec. Sumberjaya,021621,Kab. Majalengka,021600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
