nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MI ASSIDIQ PASIRTENGAH,70045098,MI,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MI HIDAYATURROHMAN,70059182,MI,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS AL AMIN,60707223,MI,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS ALFITRAH,70009775,MI,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS AN-NAZHIRIYAH,60707226,MI,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS BANGBAYANG,60707224,MI,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS BPPI CISAAT,60707218,MI,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS BPPI. TUGU,60707225,MI,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS CIBUNTU,60707219,MI,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS CICEWOL,69819501,MI,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS CICURUG 1,60707214,MI,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS CICURUG 2,60707215,MI,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS CIPARI,60707217,MI,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS NANGGERANG,60707222,MI,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS NURUL FALAH AL MUNFARIDAH,60707227,MI,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS PAPISANGAN,60707220,MI,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS TARBIYYATUL FALAH,60707221,MI,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS TENJOLAYA,60707216,MI,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MAS AL AMIN,20277306,MA,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MAS AS-SYADZILIYAH,20280404,MA,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MAS ATTAQWA,20280407,MA,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MAS DARUL AMSOR,20280420,MA,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTS MADANIYAH,69976262,MTs,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS AL AMIN,20277715,MTs,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS AL BASHRIYAH,20277720,MTs,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS ALHUDA CICURUG,20277721,MTs,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS ANNAZZHIRIYAH,20277722,MTs,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS AS SYADZILIYAH,20277716,MTs,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS ASSAADAH,20277714,MTs,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS AT TAQWA,20277718,MTs,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS DARUL AMSOR,20277719,MTs,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS NURUL ISLAH,70009682,MTs,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS SYARIKAT ISLAM 3,20277713,MTs,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS TARBIYATUL FALAH,20277717,MTs,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA DARUSSALAM,70009752,RA,SWASTA,Kec. Cicurug,020623,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
