nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MAS DARUL ULUM,20280427,MA,SWASTA,Kec. Ciracap,020602,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RIYADLUL MUTA ALIMIN CIKARAMAT,69955665,MA,SWASTA,Kec. Ciracap,020602,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA.  ASSUKANDARIYAH,69884217,RA,SWASTA,Kec. Ciracap,020602,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA. NURUL IKHSAN,69884218,RA,SWASTA,Kec. Ciracap,020602,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-ULUM,69733600,RA,SWASTA,Kec. Ciracap,020602,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA NURUL HUDA 2,69733601,RA,SWASTA,Kec. Ciracap,020602,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA NURUL QOLBI,69733602,RA,SWASTA,Kec. Ciracap,020602,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS AL MUHAJIRIN,20277764,MTs,SWASTA,Kec. Ciracap,020602,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS DARUL ULUM CIRACAP,20277765,MTs,SWASTA,Kec. Ciracap,020602,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS AL-BAROKAH,60707280,MI,SWASTA,Kec. Ciracap,020602,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS AL-FAJRI,60707281,MI,SWASTA,Kec. Ciracap,020602,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS CADASNGAMPAR,60707276,MI,SWASTA,Kec. Ciracap,020602,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS CIKARAMAT,60707278,MI,SWASTA,Kec. Ciracap,020602,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS CIKOPENG,69819503,MI,SWASTA,Kec. Ciracap,020602,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS CILELES,60707277,MI,SWASTA,Kec. Ciracap,020602,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS NURUL HIKMAH,60707279,MI,SWASTA,Kec. Ciracap,020602,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
