nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
RA DARUL FURQON,70043545,RA,SWASTA,Kec. Jampang Tengah,020613,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA HIKMATUL GHOZALI,70044713,RA,SWASTA,Kec. Jampang Tengah,020613,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA. ANNADA,69884224,RA,SWASTA,Kec. Jampang Tengah,020613,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-HIDAYAH,69733628,RA,SWASTA,Kec. Jampang Tengah,020613,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AN-NUR,69733629,RA,SWASTA,Kec. Jampang Tengah,020613,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AR RAHMAH,69733630,RA,SWASTA,Kec. Jampang Tengah,020613,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA HIDAYATUL KAMAL,69733631,RA,SWASTA,Kec. Jampang Tengah,020613,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA NUR-QOMARIAH,69733632,RA,SWASTA,Kec. Jampang Tengah,020613,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA NURUL IMAN,69733633,RA,SWASTA,Kec. Jampang Tengah,020613,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA TARBIYATUL UJLA,69733634,RA,SWASTA,Kec. Jampang Tengah,020613,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS CIBARENGKOK,60707331,MI,SWASTA,Kec. Jampang Tengah,020613,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS CIJAMBE,60707335,MI,SWASTA,Kec. Jampang Tengah,020613,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS CITARIK,60707334,MI,SWASTA,Kec. Jampang Tengah,020613,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS MANBAUL ULUM,60707330,MI,SWASTA,Kec. Jampang Tengah,020613,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS PANYINDANGAN,60707332,MI,SWASTA,Kec. Jampang Tengah,020613,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
