nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MAS YAYASAN AHMAD DJUWAENI,20277180,MA,SWASTA,Kec. Cikole,026205,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MI AZ-ZAHIDIYAH,60709682,MI,SWASTA,Kec. Cikole,026205,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS AL IHSAN,60709681,MI,SWASTA,Kec. Cikole,026205,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS GHIDAUL ATHFAL,60709683,MI,SWASTA,Kec. Cikole,026205,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS RAUDLATUSSALAM,60709684,MI,SWASTA,Kec. Cikole,026205,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA DOA BANGSA AL FALAH,70009458,RA,SWASTA,Kec. Cikole,026205,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL ADHARIYAH,69738607,RA,SWASTA,Kec. Cikole,026205,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL FALAH,69738608,RA,SWASTA,Kec. Cikole,026205,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL IKHLAS,69738610,RA,SWASTA,Kec. Cikole,026205,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL JUNAEDIYAH,69738611,RA,SWASTA,Kec. Cikole,026205,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA BAITUL ULUM,69738612,RA,SWASTA,Kec. Cikole,026205,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA NURUL AMAL,69738613,RA,SWASTA,Kec. Cikole,026205,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA NURUL IMAN,69738615,RA,SWASTA,Kec. Cikole,026205,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA NURUL IMAN,69738614,RA,SWASTA,Kec. Cikole,026205,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS AL-MUSTHOFA,20279535,MTs,SWASTA,Kec. Cikole,026205,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS YAD,20279534,MTs,SWASTA,Kec. Cikole,026205,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
