nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MTSN KOTA SUKABUMI,20279536,MTs,NEGERI,Kec. Citamiang,026202,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS 2 KOTA SUKABUMI,20279537,MTs,SWASTA,Kec. Citamiang,026202,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS AT-TAFSIRIYYAH,20279538,MTs,SWASTA,Kec. Citamiang,026202,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS MUHAMMADIYAH 1,20279539,MTs,SWASTA,Kec. Citamiang,026202,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS SUNANUL-AULIA,70009460,MTs,SWASTA,Kec. Citamiang,026202,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MTSS UMMI KULSUM KOTA SUKABUMI,69895101,MTs,SWASTA,Kec. Citamiang,026202,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA ADZNIA,70058962,RA,SWASTA,Kec. Citamiang,026202,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA HUBBUL WATHON SUKABUMI,69995577,RA,SWASTA,Kec. Citamiang,026202,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL ADRAIYYAH,69738597,RA,SWASTA,Kec. Citamiang,026202,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL ISHLAH,69738617,RA,SWASTA,Kec. Citamiang,026202,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL KHAERIYAH KK,69738618,RA,SWASTA,Kec. Citamiang,026202,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-KAUTSAR,69738616,RA,SWASTA,Kec. Citamiang,026202,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA AS SUNNAH 95,69738619,RA,SWASTA,Kec. Citamiang,026202,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA ATTAUFIQURRAHMAN,69738620,RA,SWASTA,Kec. Citamiang,026202,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA IDAMAN,69738621,RA,SWASTA,Kec. Citamiang,026202,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA QUBAH GADING,69738622,RA,SWASTA,Kec. Citamiang,026202,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
RA/BA/TA UMMI KULSUM,69738623,RA,SWASTA,Kec. Citamiang,026202,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS HIDAYATUL ATHFAL,60709685,MI,SWASTA,Kec. Citamiang,026202,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS MANARUL HUDA,60709686,MI,SWASTA,Kec. Citamiang,026202,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS RAUDLATUL FALAH,60709687,MI,SWASTA,Kec. Citamiang,026202,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MIS RAUDLATUL FATA,60709688,MI,SWASTA,Kec. Citamiang,026202,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MA SUNANUL-AULIA,69955721,MA,SWASTA,Kec. Citamiang,026202,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
MAN 1 KOTA SUKABUMI,20277177,MA,NEGERI,Kec. Citamiang,026202,Kota Sukabumi,026200,Prov. Jawa Barat,020000,0,0,0,0,0,0,0,0,,
