nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
RA/BA/TA AISYIYAH GERMADANG,69884677,RA,SWASTA,Kec. Pejawaran,030415,Kab. Banjarnegara,030400,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA BA AISYIYAH GIRITIRTA,69740225,RA,SWASTA,Kec. Pejawaran,030415,Kab. Banjarnegara,030400,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA BA AISYIYAH KARANGSARI,69740226,RA,SWASTA,Kec. Pejawaran,030415,Kab. Banjarnegara,030400,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA BA AISYIYAH PENUSUPAN,69740227,RA,SWASTA,Kec. Pejawaran,030415,Kab. Banjarnegara,030400,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA BA AISYIYAH SARWODADI,69740228,RA,SWASTA,Kec. Pejawaran,030415,Kab. Banjarnegara,030400,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA BA AISYIYAH SUREN,69740229,RA,SWASTA,Kec. Pejawaran,030415,Kab. Banjarnegara,030400,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA BA AISYIYAH TLODAS,69740230,RA,SWASTA,Kec. Pejawaran,030415,Kab. Banjarnegara,030400,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA DA COKROAMINOTO SARWODADI,69740231,RA,SWASTA,Kec. Pejawaran,030415,Kab. Banjarnegara,030400,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA MAARIF NU PAGUNDALAN,69740232,RA,SWASTA,Kec. Pejawaran,030415,Kab. Banjarnegara,030400,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTSS MUHAMMADIYAH SARWODADI,20363513,MTs,SWASTA,Kec. Pejawaran,030415,Kab. Banjarnegara,030400,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTSS RAUDLATUTHOLIBIN SEMANGKUNG,20363514,MTs,SWASTA,Kec. Pejawaran,030415,Kab. Banjarnegara,030400,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI MUHAMMADIYAH PENUSUPAN,60710769,MI,SWASTA,Kec. Pejawaran,030415,Kab. Banjarnegara,030400,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIS COKROAMINOTO BANDUNGAN,60710771,MI,SWASTA,Kec. Pejawaran,030415,Kab. Banjarnegara,030400,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIS COKROAMINOTO NGASINAN,60710770,MI,SWASTA,Kec. Pejawaran,030415,Kab. Banjarnegara,030400,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIS COKROAMINOTO SARWODADI,60710778,MI,SWASTA,Kec. Pejawaran,030415,Kab. Banjarnegara,030400,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIS MA`ARIF PEGUNDALAN,60710776,MI,SWASTA,Kec. Pejawaran,030415,Kab. Banjarnegara,030400,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIS MUHAMMADIYAH GERMADANG,60710777,MI,SWASTA,Kec. Pejawaran,030415,Kab. Banjarnegara,030400,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIS MUHAMMADIYAH GIRITIRTA,60710774,MI,SWASTA,Kec. Pejawaran,030415,Kab. Banjarnegara,030400,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIS MUHAMMADIYAH KARANGSARI,60710775,MI,SWASTA,Kec. Pejawaran,030415,Kab. Banjarnegara,030400,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIS MUHAMMADIYAH PEKANDANGAN,60710772,MI,SWASTA,Kec. Pejawaran,030415,Kab. Banjarnegara,030400,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIS MUHAMMADIYAH TLODAS,60710773,MI,SWASTA,Kec. Pejawaran,030415,Kab. Banjarnegara,030400,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
