nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MA NU GRINGSING,20364935,MA,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI AL HIDAYAH PLELEN,60713204,MI,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI ASSASIYATUL HUDA KUTOSARI,60713206,MI,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI ISLAMIYAH KEBONDALEM 01,60713203,MI,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI ISLAMIYAH KEBONDALEM 02,60713207,MI,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI ISLAMIYAH KETANGGAN,60713213,MI,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI ISLAMIYAH KRENGSENG,60713210,MI,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI ISLAMIYAH LEBO 01,60713211,MI,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI ISLAMIYAH MENTOSARI,60713209,MI,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI ISLAMIYAH SAWANGAN,60713200,MI,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI ISLAMIYAH SURODADI,60713205,MI,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI ISLAMIYAH YOSOREJO 01,60713212,MI,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI ISLAMIYAH YOSOREJO 02,60713208,MI,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI LEBO 02,60713214,MI,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI MUHAMMADIYAH,60713202,MI,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI SALAFIYAH GRINGSING,60713201,MI,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI SALAFIYAH MADUGOWONGJATI,69725085,MI,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI SALAFIYAH SENTUL,60713216,MI,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI USWATUN HASANAH SAWANGAN,60713215,MI,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS NU 01 GRINGSING,20364554,MTs,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS NU 02 GRINGSING,20364556,MTs,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS NUR ANOM,20364555,MTs,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA  AL IKHLAS,69742835,RA,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA  MANBA`UL HIKMAH,69742848,RA,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA  NURUL IKHSAN,69742841,RA,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA AANADIN,69742842,RA,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA AL FALAH,69742846,RA,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA AL HIDAYAH,69742847,RA,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA AL KHOTIJAH,69742843,RA,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA AMANAH,69742836,RA,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA BAHRUL HUDA,70014412,RA,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA FATIMATUZZAHRA,69742844,RA,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA MASYITHOH,69742838,RA,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA MASYITHOH,69742837,RA,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA MASYITHOH,69742839,RA,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA MIFTAHUL HUDA,69742840,RA,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA NAWA KARTIKA,69742849,RA,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA NURUL HUDA,69742850,RA,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA RABI`AH ADAWIYAH,69742845,RA,SWASTA,Kec. Gringsing,032507,Kab. Batang,032500,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
