nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MTSS NURUL ISLAM,20363736,MTs,SWASTA,Kec. Musuk,030904,Kab. Boyolali,030900,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
BA WALISONGO,69752675,RA,SWASTA,Kec. Musuk,030904,Kab. Boyolali,030900,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA AL ISLAM SUKORAME,69752678,RA,SWASTA,Kec. Musuk,030904,Kab. Boyolali,030900,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA PERWANIDA KINTEL,69752673,RA,SWASTA,Kec. Musuk,030904,Kab. Boyolali,030900,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA PERWANIDA SUKOREJO,69752679,RA,SWASTA,Kec. Musuk,030904,Kab. Boyolali,030900,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA PERWANIDA SUMUR,69752674,RA,SWASTA,Kec. Musuk,030904,Kab. Boyolali,030900,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
TA MUSLIMAT NU,69752676,RA,SWASTA,Kec. Musuk,030904,Kab. Boyolali,030900,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIS BADRISSALAM,60711521,MI,SWASTA,Kec. Musuk,030904,Kab. Boyolali,030900,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIS MIFTAHUL ULUM,60711523,MI,SWASTA,Kec. Musuk,030904,Kab. Boyolali,030900,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIS NURUL HUDA,60711520,MI,SWASTA,Kec. Musuk,030904,Kab. Boyolali,030900,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
