nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MTS AL IKHWAN,20364354,MTs,SWASTA,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS AL MAFTUHAH,70060860,MTs,SWASTA,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS MIFTAHUL ULUM,20364336,MTs,SWASTA,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS NAHDLATUSYSYUBBAN,20364353,MTs,SWASTA,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTSN 3 DEMAK,20364335,MTs,NEGERI,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI AL-MAFTUHAH,69927560,MI,SWASTA,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI NAHDLATUSSUBBAN,60712677,MI,SWASTA,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI NAHDLOTUT THOLIBIN,60712675,MI,SWASTA,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI RAUDLATUSSIBYAN,60712676,MI,SWASTA,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI ROHMATAL LIL ALAMIN,60712657,MI,SWASTA,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI ROUDLOTUL HIKMAH,70024893,MI,SWASTA,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI UNGGULAN NURUL HIKMAH,70058723,MI,SWASTA,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MA AL AHROM,20362851,MA,SWASTA,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MAS AL IKHWAN,20362850,MA,SWASTA,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA AL-MAFTUHAH,69941090,RA,SWASTA,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA DARUL ULUM WONODADI,70033618,RA,SWASTA,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA NAHDLOTUT THOLIBIN,69742259,RA,SWASTA,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA. DARUT TAQWA,69884846,RA,SWASTA,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL FALAH,69742258,RA,SWASTA,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-KARIMAH,69742257,RA,SWASTA,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA PERMATA CERIA WONOWOSO,69742260,RA,SWASTA,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA ROHMATAN LILALAMIN,69742261,RA,SWASTA,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA TARBIYATUSSIBYAN PLOSO,69742262,RA,SWASTA,Kec. Karang Tengah,032105,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
