nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MI MIFTAHUL ULUM JOGOLOYO,60712735,MI,SWASTA,Kec. Wonosalam,032108,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI MIFTAHUSSALAM 1 WONOSALAM,60712734,MI,SWASTA,Kec. Wonosalam,032108,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI MIFTAHUSSALAM 2 WONOSALAM,60712736,MI,SWASTA,Kec. Wonosalam,032108,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI TAHFIDZ DARUL MUSTHOFA,70026221,MI,SWASTA,Kec. Wonosalam,032108,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI TAHFIDZ ROUDLOTUSH SHOLIHIN,70034047,MI,SWASTA,Kec. Wonosalam,032108,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA AL MA SUM,69941095,RA,SWASTA,Kec. Wonosalam,032108,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA NURUL HIDAYAH,70014413,RA,SWASTA,Kec. Wonosalam,032108,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA TARBIYATUS SIBYAN,69742351,RA,SWASTA,Kec. Wonosalam,032108,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA DARUNNAJAH GETAS,69742349,RA,SWASTA,Kec. Wonosalam,032108,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA SITI KHODIJAH,69742350,RA,SWASTA,Kec. Wonosalam,032108,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA TARBIYATUSSALAM,69742352,RA,SWASTA,Kec. Wonosalam,032108,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS DARUL ULUM,20364416,MTs,SWASTA,Kec. Wonosalam,032108,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS MIFTAHUL ULUM TLOGOREJO,20364414,MTs,SWASTA,Kec. Wonosalam,032108,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS MIFTAHUSSALAM 1,20364412,MTs,SWASTA,Kec. Wonosalam,032108,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS MIFTAHUSSALAM 2,20364415,MTs,SWASTA,Kec. Wonosalam,032108,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS NU 03 SABILUL HUDA,20364417,MTs,SWASTA,Kec. Wonosalam,032108,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS NU JOGOLOYO,20364413,MTs,SWASTA,Kec. Wonosalam,032108,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS ROUDLOTUSH SHOLIHIN,20364418,MTs,SWASTA,Kec. Wonosalam,032108,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MA NAHDLATUL ULAMA KARANGROWO,69941710,MA,SWASTA,Kec. Wonosalam,032108,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MA SHOLAHUDDIN,20362897,MA,SWASTA,Kec. Wonosalam,032108,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MAN DEMAK,20362895,MA,NEGERI,Kec. Wonosalam,032108,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MAS MIFTAHUSSALAM,20362896,MA,SWASTA,Kec. Wonosalam,032108,Kab. Demak,032100,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
