nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MTS AL FAIZIN,20364200,MTs,SWASTA,Kec. Bangsri,032010,Kab. Jepara,032000,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS AL-ISHLAH,69895122,MTs,SWASTA,Kec. Bangsri,032010,Kab. Jepara,032000,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS AMTSILATI,69955975,MTs,SWASTA,Kec. Bangsri,032010,Kab. Jepara,032000,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS DARUL ULUM,20364204,MTs,SWASTA,Kec. Bangsri,032010,Kab. Jepara,032000,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS FADLUN NAFIS,70033240,MTs,SWASTA,Kec. Bangsri,032010,Kab. Jepara,032000,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS HASYIM ASY`ARI,20364198,MTs,SWASTA,Kec. Bangsri,032010,Kab. Jepara,032000,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS MATHOLIUL ULUM,20364202,MTs,SWASTA,Kec. Bangsri,032010,Kab. Jepara,032000,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS MIFTAHUL HUDA,20364206,MTs,SWASTA,Kec. Bangsri,032010,Kab. Jepara,032000,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS MIFTAHUL MA`RIFAT,70009801,MTs,SWASTA,Kec. Bangsri,032010,Kab. Jepara,032000,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS NAHDLATUL ULAMA,20364199,MTs,SWASTA,Kec. Bangsri,032010,Kab. Jepara,032000,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
