nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MTS MATHOLI`UL FALAH,20364091,MTs,SWASTA,Kec. Pucakwangi,031805,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS MATHOLI`UL HUDA,20364088,MTs,SWASTA,Kec. Pucakwangi,031805,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS MATHOLI`UL ULUM,20364089,MTs,SWASTA,Kec. Pucakwangi,031805,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS MIFTAHUL FALAH,20364092,MTs,SWASTA,Kec. Pucakwangi,031805,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS MIFTAHUL HUDA,69726361,MTs,SWASTA,Kec. Pucakwangi,031805,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS NURUL QUR`AN,20364090,MTs,SWASTA,Kec. Pucakwangi,031805,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS TARBIYATUL BANIN,20364093,MTs,SWASTA,Kec. Pucakwangi,031805,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS TARBIYATUL ISLAMIYAH,20364094,MTs,SWASTA,Kec. Pucakwangi,031805,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA AN NUR,69994033,RA,SWASTA,Kec. Pucakwangi,031805,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA HIDAYATUSSUBAN,69756969,RA,SWASTA,Kec. Pucakwangi,031805,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA MATHOLI`UL FALAH,69756965,RA,SWASTA,Kec. Pucakwangi,031805,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA MATHOLI`UL HUDA,69756962,RA,SWASTA,Kec. Pucakwangi,031805,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
