nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
RA MIFTAHUL HUDA,69888947,RA,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA MIFTAHUL ULUM,69757294,RA,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA MIFTAHUSSA`ADAH,69757297,RA,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA NAHDLOTUSY SYUBBAN,69757301,RA,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA ROUDLOTUSYSYUBBAN,69757298,RA,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA SALAFIYAH,69757299,RA,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA TARBIYATUL BANIN,69757296,RA,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA TARBIYATUL BANIN,69757293,RA,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA TARBIYATUL ISLAMIYAH,69757292,RA,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA TARBIYATUL MUBTADI,69757295,RA,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA RAUDLATUL ULUM,69741972,RA,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MA PPKP DARUL MA`LA,60729915,MA,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MA ROUDLOTUSYSYUBBAN,20363149,MA,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MA TARBIYATUL BANIN,60730330,MA,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS NAHDLATUSY SYUBBAN,20364134,MTs,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS ROUDLOTUL ULUM,69883321,MTs,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS ROUDLOTUSYSYUBBAN,20364135,MTs,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS TARBIYATUL BANIN,20364133,MTs,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTSN 1 PATI,20364132,MTs,NEGERI,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI MIFTAHUL HUDA,60712295,MI,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI MIFTAHUL ULUM,60712296,MI,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI MIFTAHUSSA`ADAH,60712291,MI,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI NAHDLOTUSYSYUBBAN,60712293,MI,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI RAUDLATUL ULUM,60712297,MI,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI ROUDLOTUSYSYUBBAN,60712292,MI,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI TARBIYATUL BANIN,60712289,MI,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI TARBIYATUL BANIN,60712294,MI,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI TARBIYATUL ISLAMIYAH,60712288,MI,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI TARBIYATUL MUBTADI,60712290,MI,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIS NURUL IMAN,60712298,MI,SWASTA,Kec. Winong,031804,Kab. Pati,031800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
