nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MA NU KARANGDADAP,20363151,MA,SWASTA,Kec. Karangdadap,032618,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI ASSALAM PAGUMENGANMAS,69994058,MI,SWASTA,Kec. Karangdadap,032618,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI BUSTANUL IMAN PEGANDON,60713315,MI,SWASTA,Kec. Karangdadap,032618,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI MA`ARIF AR-ROHMAH,69927961,MI,SWASTA,Kec. Karangdadap,032618,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI MA`ARIF NU KALILEMBU,60713316,MI,SWASTA,Kec. Karangdadap,032618,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI NU KEDUNGKEBO,70008680,MI,SWASTA,Kec. Karangdadap,032618,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI WALISONGO KEBONROWOPUCANG,60713313,MI,SWASTA,Kec. Karangdadap,032618,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI WALISONGO LOGANDENG,60713314,MI,SWASTA,Kec. Karangdadap,032618,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIS KARANGDADAP,60713312,MI,SWASTA,Kec. Karangdadap,032618,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIS MA`ARIF NU KEBONSARI,60713317,MI,SWASTA,Kec. Karangdadap,032618,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA BUSTANUL IMAN PEGANDON,69757083,RA,SWASTA,Kec. Karangdadap,032618,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT KEBONROWOPUCANG,69757088,RA,SWASTA,Kec. Karangdadap,032618,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT LOGANDENG,69757105,RA,SWASTA,Kec. Karangdadap,032618,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT NU KARANGDADAP,69742915,RA,SWASTA,Kec. Karangdadap,032618,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT NU KEBONSARI,69742918,RA,SWASTA,Kec. Karangdadap,032618,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RAM NU KALILEMBU,69887600,RA,SWASTA,Kec. Karangdadap,032618,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
