nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
RA MUSLIMAT BONDANSARI,69757081,RA,SWASTA,Kec. Wiradesa,032616,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT DELEGTUKANG,69742974,RA,SWASTA,Kec. Wiradesa,032616,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT NU GUMAWANG,69742972,RA,SWASTA,Kec. Wiradesa,032616,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT NU KADIPATEN,69757086,RA,SWASTA,Kec. Wiradesa,032616,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT NU PEKUNCEN,69757090,RA,SWASTA,Kec. Wiradesa,032616,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT WARU LOR,69742979,RA,SWASTA,Kec. Wiradesa,032616,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA NU WIRADESA,69757093,RA,SWASTA,Kec. Wiradesa,032616,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA TARBIYATUL ATHFAL RIFAIYAH KAMPIL,70033555,RA,SWASTA,Kec. Wiradesa,032616,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RAM NU KEMPLONG,69742976,RA,SWASTA,Kec. Wiradesa,032616,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RAUDLATUL ATHFAL MUSLIMAT KAUMAN,69742971,RA,SWASTA,Kec. Wiradesa,032616,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI MUHAMMADIYAH DELEGTUKANG,60713373,MI,SWASTA,Kec. Wiradesa,032616,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI MUHAMMADIYAH KAUMAN,60713372,MI,SWASTA,Kec. Wiradesa,032616,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI NU TAKHASSUS KARANGJATI,70033556,MI,SWASTA,Kec. Wiradesa,032616,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI RIFAIYAH KAMPIL,69894637,MI,SWASTA,Kec. Wiradesa,032616,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIS KADIPATEN,60713374,MI,SWASTA,Kec. Wiradesa,032616,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIS KAUMAN,60713375,MI,SWASTA,Kec. Wiradesa,032616,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIS MANBAUL HUDA GUMAWANG,60713377,MI,SWASTA,Kec. Wiradesa,032616,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIS WARULOR,60713376,MI,SWASTA,Kec. Wiradesa,032616,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MA DR. IBNU MAS`UD,20363160,MA,SWASTA,Kec. Wiradesa,032616,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS 45 WIRADESA,20364599,MTs,SWASTA,Kec. Wiradesa,032616,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS MUHAMMADIYAH WIRADESA,70014179,MTs,SWASTA,Kec. Wiradesa,032616,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS SALAFIYAH WIRADESA,20364600,MTs,SWASTA,Kec. Wiradesa,032616,Kab. Pekalongan,032600,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
