nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MI AL BAROKAH KENTENG,60712874,MI,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI BAKALREJO,60712865,MI,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI KARANGASEM,60712873,MI,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI KETANGGEN,60712868,MI,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI KETAPANG,60712869,MI,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI SUDIRMAN KEMETUL,60712867,MI,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI TAMRINUL ULUM,60712875,MI,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI TAWANG,60712870,MI,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI TAWANG 02,60712871,MI,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIN 3 SEMARANG,60712864,MI,NEGERI,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIN 4 SEMARANG,60712876,MI,NEGERI,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIS BAKALAN,60712872,MI,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIS MIFTAHUL ULUM,60712866,MI,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
BA AISYIYAH,69742478,RA,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
BA GENTAN I,69742479,RA,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
BA GENTAN II,69884857,RA,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
BA GENTAN III,69742480,RA,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
BA TAWANG III,69742500,RA,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA AL BAROKAH,69742482,RA,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA AL HIDAYAH KEMETUL,69742495,RA,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA BAKALREJO,69884858,RA,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA DARUL FALAH KETANGGEN,69742484,RA,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA DARUL FALAH TAWANG 2,69994050,RA,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA ICS KORIPAN II,69742486,RA,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA KARANGASEM,69742487,RA,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA KETAPANG I,69742488,RA,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA KORIPAN I,69742489,RA,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA MIFTAHUL ULUM PETAK,69742481,RA,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA MUNCAR,69742490,RA,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA NGASINAN I,69742491,RA,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA PERWANIDA,69742492,RA,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA TAISIRUL MUTAROTTILIN,69742498,RA,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA TAMRINUL ULUM JETIS,69742493,RA,SWASTA,Kec. Susukan,032203,Kab. Semarang,032200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
