nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MA AL-IKHLAS,20363230,MA,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS AL-FALAH CERIH,20364674,MTs,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS KUSUMA HUSADA,20364671,MTs,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS MA`ARIF NU JATINEGARA,20364675,MTs,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS MIFTAHUL ULUM,20364672,MTs,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS NU SITAIL,20364676,MTs,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTSS MAMBAUL ULUM JATINEGARA,20364673,MTs,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI ASYAFI`IYAH SITAIL,69928130,MI,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI DARUSSALAM,60713536,MI,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI MIFTAHUL HUDA PADASARI,60713537,MI,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI MIFTAHUL ULUM SUMBARANG,60713538,MI,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI NU BUSTANUTTHOLIBIN,60713534,MI,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI ROBITHOH ISLAMI,60713535,MI,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI ULUMUDIN DUKUHBANGSA,60713533,MI,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIS NAHDLATUL ULAMA MOKAHA,70043317,MI,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA. AL MUTTAQIN,69884890,RA,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA. BUSTANUTTHOLIBIN,69884888,RA,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA. MASITHOH,69884887,RA,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL FALAH,69743076,RA,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA ATTHAHIRIYAH,69743077,RA,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA BUSTANUL ULUM,69743078,RA,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA DARUSSALAM,69743079,RA,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA FATAHILLAH,69743080,RA,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA MAMBAUL ULUM,69743081,RA,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA MIFTAKHUL ULUM,69743082,RA,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA RAUDLATUL JANNAH,69743083,RA,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA ROBITHOH ISLAMI,69743084,RA,SWASTA,Kec. Jatinegara,032807,Kab. Tegal,032800,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
