nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MTS ALMAHFUDZ,70009011,MTs,SWASTA,Kec. Sapuran,030703,Kab. Wonosobo,030700,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS BERBAUR,69977315,MTs,SWASTA,Kec. Sapuran,030703,Kab. Wonosobo,030700,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MTS MA`ARIF SAPURAN,20363640,MTs,SWASTA,Kec. Sapuran,030703,Kab. Wonosobo,030700,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MA BERBAUR,69983503,MA,SWASTA,Kec. Sapuran,030703,Kab. Wonosobo,030700,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MAS MANBAUL CHIKMAH,70043472,MA,SWASTA,Kec. Sapuran,030703,Kab. Wonosobo,030700,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA MASYITHOH SUDAGARAN,69740492,RA,SWASTA,Kec. Sapuran,030703,Kab. Wonosobo,030700,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA. MASYITHOH JOLONTORO,69884708,RA,SWASTA,Kec. Sapuran,030703,Kab. Wonosobo,030700,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA. MASYITHOH TALUNOMBO,69884709,RA,SWASTA,Kec. Sapuran,030703,Kab. Wonosobo,030700,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
TA AL JAMI,69752663,RA,SWASTA,Kec. Sapuran,030703,Kab. Wonosobo,030700,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
TA NURUNNISA 1,69963290,RA,SWASTA,Kec. Sapuran,030703,Kab. Wonosobo,030700,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
TA NURUNNISA II,69752657,RA,SWASTA,Kec. Sapuran,030703,Kab. Wonosobo,030700,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI ISLAMIYAH JOLONTORO,60711088,MI,SWASTA,Kec. Sapuran,030703,Kab. Wonosobo,030700,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI MA`ARIF BENDOSARI,60711087,MI,SWASTA,Kec. Sapuran,030703,Kab. Wonosobo,030700,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI MA`ARIF GENTAN,70035518,MI,SWASTA,Kec. Sapuran,030703,Kab. Wonosobo,030700,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI MA`ARIF NGADIKERSO,60711090,MI,SWASTA,Kec. Sapuran,030703,Kab. Wonosobo,030700,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI MA`ARIF TALUNOMBO,60711086,MI,SWASTA,Kec. Sapuran,030703,Kab. Wonosobo,030700,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI MUHAMMADIYAH MARONGSARI,60711089,MI,SWASTA,Kec. Sapuran,030703,Kab. Wonosobo,030700,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
