nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MTSN SALATIGA,20364817,MTs,NEGERI,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MA PLUS SUNAN GIRI SALATIGA,70048665,MA,SWASTA,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA  NURUL IMAN,69743333,RA,SWASTA,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA AL AMIN 01,69743323,RA,SWASTA,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA  AL-AZHAR,69743322,RA,SWASTA,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL AMIN 02,69743324,RA,SWASTA,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-HIDAYAH,69743326,RA,SWASTA,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA AN-NIDA,69743327,RA,SWASTA,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA BINA INSAN FITRIA,69743328,RA,SWASTA,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA GLORY ISLAMIC,69743325,RA,SWASTA,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA MASYITOH,69743329,RA,SWASTA,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA MIFTAKHUL JANNAH,69743330,RA,SWASTA,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA SYAMILA KID`S,69743331,RA,SWASTA,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA TARUNA UTAMA,69743332,RA,SWASTA,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI AL-MAHMUD KUMPULREJO 01,60713828,MI,SWASTA,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI MAARIF KUMPULREJO 02,60713830,MI,SWASTA,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI PERWANIDA,60726968,MI,SWASTA,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MI TARBIYATUL ISLAMIYAH,60713829,MI,SWASTA,Kec. Argomulyo,036201,Kota Salatiga,036200,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
