nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MTSS TAWANG REJOSARI,20364844,MTs,SWASTA,Kec. Semarang Barat,036314,Kota Semarang,036300,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIS AL - AMIN,60713888,MI,SWASTA,Kec. Semarang Barat,036314,Kota Semarang,036300,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIS AT TAQWA,60713886,MI,SWASTA,Kec. Semarang Barat,036314,Kota Semarang,036300,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIS GISIKDRONO,60713887,MI,SWASTA,Kec. Semarang Barat,036314,Kota Semarang,036300,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
MIS TAWANG,60713884,MI,SWASTA,Kec. Semarang Barat,036314,Kota Semarang,036300,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA AL FURQON,70034110,RA,SWASTA,Kec. Semarang Barat,036314,Kota Semarang,036300,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA AL HIKMAH,69941113,RA,SWASTA,Kec. Semarang Barat,036314,Kota Semarang,036300,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA MUTIARA HATI,20362725,RA,SWASTA,Kec. Semarang Barat,036314,Kota Semarang,036300,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL AMIN,69743431,RA,SWASTA,Kec. Semarang Barat,036314,Kota Semarang,036300,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL IKHLAS,69743432,RA,SWASTA,Kec. Semarang Barat,036314,Kota Semarang,036300,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA AT TAQWA,69743433,RA,SWASTA,Kec. Semarang Barat,036314,Kota Semarang,036300,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA GISIKDRONO,69743434,RA,SWASTA,Kec. Semarang Barat,036314,Kota Semarang,036300,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA TAWANG REJOSARI,69743435,RA,SWASTA,Kec. Semarang Barat,036314,Kota Semarang,036300,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
RA/BA/TA TERPADU AL QOLAM,69743436,RA,SWASTA,Kec. Semarang Barat,036314,Kota Semarang,036300,Prov. Jawa Tengah,030000,0,0,0,0,0,0,0,0,,
