nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MA AL HIKMAH LANGKAPAN,20584116,MA,SWASTA,Kec. Srengat,051520,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA AL HIDAYAH DERMOJAYAN,69744338,RA,SWASTA,Kec. Srengat,051520,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA AL HIDAYAH PURWOKERTO,69744339,RA,SWASTA,Kec. Srengat,051520,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA CERIA DARUL FAQIH,69744340,RA,SWASTA,Kec. Srengat,051520,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA NURUL FU`AD,70040675,RA,SWASTA,Kec. Srengat,051520,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA PERWANIDA DANDONG,69744341,RA,SWASTA,Kec. Srengat,051520,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA PERWANIDA KANDANGAN,69744342,RA,SWASTA,Kec. Srengat,051520,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA YAA BUNAYYA SRENGAT,69744343,RA,SWASTA,Kec. Srengat,051520,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTS MA`ARIF SRENGAT,20581081,MTs,SWASTA,Kec. Srengat,051520,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSN 3 BLITAR,20581080,MTs,NEGERI,Kec. Srengat,051520,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI DARUL ULUM,60714704,MI,SWASTA,Kec. Srengat,051520,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI ISLAM PURWOKERTO,60714700,MI,SWASTA,Kec. Srengat,051520,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI ISLAMIYAH DANDONG,60714702,MI,SWASTA,Kec. Srengat,051520,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI ISLAMIYAH DERMOJAYAN,60714699,MI,SWASTA,Kec. Srengat,051520,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI MANBAUT THOLIBIN KERJEN,60714703,MI,SWASTA,Kec. Srengat,051520,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI PLUS AS SHOLIHIIN,69963393,MI,SWASTA,Kec. Srengat,051520,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI ROUDLOTUN NASYIIN PURWOKERTO,60714701,MI,SWASTA,Kec. Srengat,051520,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI YAA BUNAYYA DANDONG SRENGAT,60714705,MI,SWASTA,Kec. Srengat,051520,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIN 7 BLITAR,60714698,MI,NEGERI,Kec. Srengat,051520,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
