nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MTS MAARIF NU 2 SUTOJAYAN,20584989,MTs,SWASTA,Kec. Sutojayan,051506,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTS MIFTAAHUL ULUUM,20581082,MTs,SWASTA,Kec. Sutojayan,051506,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTS SIROJUT THOLIBIIN,20581083,MTs,SWASTA,Kec. Sutojayan,051506,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MA SIROJUT THOLIBIN,20584131,MA,SWASTA,Kec. Sutojayan,051506,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MA TRISULA,20584135,MA,SWASTA,Kec. Sutojayan,051506,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA  AL HIKMAH JINGGLONG,69744345,RA,SWASTA,Kec. Sutojayan,051506,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA AL HIDAYAH PANDANARUM,69744344,RA,SWASTA,Kec. Sutojayan,051506,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA PERWANIDA PANDANARUM,69744346,RA,SWASTA,Kec. Sutojayan,051506,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA PERWANIDA SUKOREJO,69744347,RA,SWASTA,Kec. Sutojayan,051506,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI AL - HUDA 02 PANDANARUM,60714712,MI,SWASTA,Kec. Sutojayan,051506,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI AL HIKMAH JINGGLONG,60714707,MI,SWASTA,Kec. Sutojayan,051506,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI AL HUDA I PANDANARUM,60714711,MI,SWASTA,Kec. Sutojayan,051506,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI AL HUDA III PANDANARUM,60714713,MI,SWASTA,Kec. Sutojayan,051506,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI AN NUUR,60714709,MI,SWASTA,Kec. Sutojayan,051506,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI MIFTAHUL HUDA,60714706,MI,SWASTA,Kec. Sutojayan,051506,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI MIFTAHUL HUDA BACEM,60714710,MI,SWASTA,Kec. Sutojayan,051506,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI ROUDLOTUN NASYI`IN SUKOREJO,60714708,MI,SWASTA,Kec. Sutojayan,051506,Kab. Blitar,051500,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
