nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
RA AL KHOIRIYAH,69746794,RA,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA AL-AZHAR,69746793,RA,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA HIDAYATUL MUBTADI  IN,69898150,RA,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT,69746795,RA,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT,69746798,RA,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT,69746797,RA,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT,69746800,RA,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT BINA INSANI,69746799,RA,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT MIFTAHUL HUDA,69746796,RA,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA PERWANIDA,69746802,RA,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA PERWANIDA,69746801,RA,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA ULUMUDDIN,69746803,RA,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA USSISA ALA TAQWA,69977615,RA,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI AL AZHAR,70034463,MI,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI AL-QUR`AN BUSTANUL ULUM,70034953,MI,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI MIFTAHUL JANNAH,69894683,MI,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS AL - KHOIRIYAH,60717388,MI,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS AL ILHAM,60717387,MI,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS AL-ALIF,69894682,MI,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS BAITUL HUDA,60717389,MI,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS MIFTAHUL HUDA,60717390,MI,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS SABILUN NAJAH,60717391,MI,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS TARBIYATUL ATHFAL,60717392,MI,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS ULUMUDDIN,60717393,MI,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS WAHID HASYIM,60717394,MI,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTS BAITURROHIM BLIMBING,69993400,MTs,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTS TARBIYATUT THOLABAH,70036081,MTs,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS H.AGUSSALIM,20582322,MTs,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS WAHID HASYIM,20582323,MTs,SWASTA,Kec. Gudo,050403,Kab. Jombang,050400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
