nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MTSS AL-ISHLAHIYAH,20581113,MTs,SWASTA,Kec. Kandangan,051323,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS FATAHILLAH,20581114,MTs,SWASTA,Kec. Kandangan,051323,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS MAMUROTUL HUSNA,20581115,MTs,SWASTA,Kec. Kandangan,051323,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MAN 3 KEDIRI,20580014,MA,NEGERI,Kec. Kandangan,051323,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MAS PLUS AL HIKAM,70044192,MA,SWASTA,Kec. Kandangan,051323,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RAUDHATUL ATHFAL AL ISHLAHIYAH,69744426,RA,SWASTA,Kec. Kandangan,051323,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RAUDHATUL ATHFAL KUSUMA MULIA BACEM,69744428,RA,SWASTA,Kec. Kandangan,051323,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RAUDHATUL ATHFAL KUSUMA MULIA KARANG TENGAH,69744429,RA,SWASTA,Kec. Kandangan,051323,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RAUDHATUL ATHFAL KUSUMA MULIA MLANCU,69744430,RA,SWASTA,Kec. Kandangan,051323,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RAUDHATUL ATHFAL KUSUMA MULIA NGAGLIK,69744431,RA,SWASTA,Kec. Kandangan,051323,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RAUDHATUL ATHFAL KUSUMA MULIA NGRANGKOK,69744427,RA,SWASTA,Kec. Kandangan,051323,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RAUDHATUL ATHFAL KUSUMA MULIA ORO ORO OMBO,69744432,RA,SWASTA,Kec. Kandangan,051323,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RAUDHATUL ATHFAL KUSUMA MULIA PLUMPUNGREJO,69744433,RA,SWASTA,Kec. Kandangan,051323,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RAUDHATUL ATHFAL PERWANIDA KANDANGAN,69744434,RA,SWASTA,Kec. Kandangan,051323,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS AL HIDAYAH KANDANGAN,60714804,MI,SWASTA,Kec. Kandangan,051323,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS AL-ISHLAHIYAH,60714805,MI,SWASTA,Kec. Kandangan,051323,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS AS-SUNNAH,69956230,MI,SWASTA,Kec. Kandangan,051323,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS DARUL FALAH,60714806,MI,SWASTA,Kec. Kandangan,051323,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS DARUSSAADAH,60714807,MI,SWASTA,Kec. Kandangan,051323,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS MAMUROTUL HUSNA,60714808,MI,SWASTA,Kec. Kandangan,051323,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS MIFTAHUL ULUM BUKUR,60714809,MI,SWASTA,Kec. Kandangan,051323,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS MIFTAHUL ULUM KARANGTENGAH,60714810,MI,SWASTA,Kec. Kandangan,051323,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS MIFTAHUL ULUM MLANCU,60714811,MI,SWASTA,Kec. Kandangan,051323,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS NURUL ULUM,60714812,MI,SWASTA,Kec. Kandangan,051323,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS ROHMATUL UMMAH,60714813,MI,SWASTA,Kec. Kandangan,051323,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS ULUMIYAH,60714814,MI,SWASTA,Kec. Kandangan,051323,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
