nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MTSS AL - HIDAYAH,20581154,MTs,SWASTA,Kec. Ngancar,051303,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS DARUL HIKMAH,20581155,MTs,SWASTA,Kec. Ngancar,051303,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RAUDHATUL ATHFAL AL FUAD GUPPI II KUNJANG,69744507,RA,SWASTA,Kec. Ngancar,051303,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RAUDHATUL ATHFAL AL HIDAYAH GUPPI I BEDALI,69744506,RA,SWASTA,Kec. Ngancar,051303,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RAUDHATUL ATHFAL AL MA`WA NGANCAR,70027806,RA,SWASTA,Kec. Ngancar,051303,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RAUDHATUL ATHFAL BAITUL MAKMUR NGANCAR,70028179,RA,SWASTA,Kec. Ngancar,051303,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RAUDHATUL ATHFAL KUSUMA MULIA I,69744509,RA,SWASTA,Kec. Ngancar,051303,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RAUDHATUL ATHFAL KUSUMA MULIA II,69744510,RA,SWASTA,Kec. Ngancar,051303,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RAUDHATUL ATHFAL KUSUMA MULIA III,69744505,RA,SWASTA,Kec. Ngancar,051303,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RAUDHATUL ATHFAL KUSUMA MULIA IV,69744511,RA,SWASTA,Kec. Ngancar,051303,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RAUDHATUL ATHFAL PLUS BAITUL HIKMAH,69744508,RA,SWASTA,Kec. Ngancar,051303,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RAUDHATUL ATHFAL PLUS ROUDHLOTUL JANNAH NGANCAR,70028018,RA,SWASTA,Kec. Ngancar,051303,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI NURUL HUDA,69894652,MI,SWASTA,Kec. Ngancar,051303,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS BAITUL HIKMAH,60714880,MI,SWASTA,Kec. Ngancar,051303,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS PLUS DARUL HIKMAH,60714881,MI,SWASTA,Kec. Ngancar,051303,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS TARBIYATUL ATHFAL,60714882,MI,SWASTA,Kec. Ngancar,051303,Kab. Kediri,051300,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
