nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MAS MA`ARIF 13,20580779,MA,SWASTA,Kec. Ngimbang,050703,Kab. Lamongan,050700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA NURUL ISLAM,70027378,RA,SWASTA,Kec. Ngimbang,050703,Kab. Lamongan,050700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA. AL AMANAH,69885283,RA,SWASTA,Kec. Ngimbang,050703,Kab. Lamongan,050700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA. BINTANG,69885282,RA,SWASTA,Kec. Ngimbang,050703,Kab. Lamongan,050700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA. DARUL FIQHI,69885281,RA,SWASTA,Kec. Ngimbang,050703,Kab. Lamongan,050700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL ISTIQLAL,69747944,RA,SWASTA,Kec. Ngimbang,050703,Kab. Lamongan,050700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA PERWANIDA VII,69747945,RA,SWASTA,Kec. Ngimbang,050703,Kab. Lamongan,050700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA THORIQUSSALAM,69747946,RA,SWASTA,Kec. Ngimbang,050703,Kab. Lamongan,050700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI UNGGULAN DARUSSALAM,70025097,MI,SWASTA,Kec. Ngimbang,050703,Kab. Lamongan,050700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS AL ISTIQLAL,60718657,MI,SWASTA,Kec. Ngimbang,050703,Kab. Lamongan,050700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS ASSA`ADAH,60718658,MI,SWASTA,Kec. Ngimbang,050703,Kab. Lamongan,050700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS ISLAMIYAH,60718656,MI,SWASTA,Kec. Ngimbang,050703,Kab. Lamongan,050700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS MURNI AL HIDAYAH,69881913,MI,SWASTA,Kec. Ngimbang,050703,Kab. Lamongan,050700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS AL HIDAYAH,20582838,MTs,SWASTA,Kec. Ngimbang,050703,Kab. Lamongan,050700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS AL-IKHLAS,69725413,MTs,SWASTA,Kec. Ngimbang,050703,Kab. Lamongan,050700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS MA`ARIF 8,20582839,MTs,SWASTA,Kec. Ngimbang,050703,Kab. Lamongan,050700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
