nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MTSS BUSTANUL ULUM KRAI,20581430,MTs,SWASTA,Kec. Yosowilangun,052107,Kab. Lumajang,052100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS NURUS SHOLAH,70009218,MTs,SWASTA,Kec. Yosowilangun,052107,Kab. Lumajang,052100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS SA ULIL ALBAB WOTGALIH,69733825,MTs,SWASTA,Kec. Yosowilangun,052107,Kab. Lumajang,052100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS WAHID HASYIM YOSOWILANGUN,20581431,MTs,SWASTA,Kec. Yosowilangun,052107,Kab. Lumajang,052100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MADRASAH ALIYAH BUSTANUL ULUM,20580813,MA,SWASTA,Kec. Yosowilangun,052107,Kab. Lumajang,052100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MAS NURUL ICHSAN,69756049,MA,SWASTA,Kec. Yosowilangun,052107,Kab. Lumajang,052100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MAS NURUS SHOLAH,70008886,MA,SWASTA,Kec. Yosowilangun,052107,Kab. Lumajang,052100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS BUSTANUL ULUM KRAI,60715452,MI,SWASTA,Kec. Yosowilangun,052107,Kab. Lumajang,052100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS HASYIM ASYARI YOSOWILANGUN KIDUL,60715451,MI,SWASTA,Kec. Yosowilangun,052107,Kab. Lumajang,052100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS HIDAYATUL ULUM WOTGALIH,69725585,MI,SWASTA,Kec. Yosowilangun,052107,Kab. Lumajang,052100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
