nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MTS NURUL HUDA DAU,69853441,MTs,SWASTA,Kec. Dau,051830,Kab. Malang,051800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS WAHID HASYIM 01 DAU,20581224,MTs,SWASTA,Kec. Dau,051830,Kab. Malang,051800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS WAHID HASYIM 02 DAU,20581225,MTs,SWASTA,Kec. Dau,051830,Kab. Malang,051800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MAS DAARUL FIKRI,70010507,MA,SWASTA,Kec. Dau,051830,Kab. Malang,051800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA  ASH-SHOLIKHIN,69744668,RA,SWASTA,Kec. Dau,051830,Kab. Malang,051800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA AR ROHMAH,69744675,RA,SWASTA,Kec. Dau,051830,Kab. Malang,051800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA BAITUL MAKMUR,69744666,RA,SWASTA,Kec. Dau,051830,Kab. Malang,051800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA BAITURROCHMAN,69744676,RA,SWASTA,Kec. Dau,051830,Kab. Malang,051800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA CAHYA HATI,69744677,RA,SWASTA,Kec. Dau,051830,Kab. Malang,051800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA DAARUL FIKRI,69744678,RA,SWASTA,Kec. Dau,051830,Kab. Malang,051800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA FATHUL HUDA,69744669,RA,SWASTA,Kec. Dau,051830,Kab. Malang,051800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA HASANUDDIN,69744670,RA,SWASTA,Kec. Dau,051830,Kab. Malang,051800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA HIDAYATUL MUBTADIIN,69744671,RA,SWASTA,Kec. Dau,051830,Kab. Malang,051800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA MIFTAHUL JANNAH,69744672,RA,SWASTA,Kec. Dau,051830,Kab. Malang,051800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA PANGLIMA SUDIRMAN,69744673,RA,SWASTA,Kec. Dau,051830,Kab. Malang,051800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA QURROTA A`YUN,69744674,RA,SWASTA,Kec. Dau,051830,Kab. Malang,051800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA SYIHABUDDIN,69977582,RA,SWASTA,Kec. Dau,051830,Kab. Malang,051800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA TARBIYATUSH-SHIBYAN,69754433,RA,SWASTA,Kec. Dau,051830,Kab. Malang,051800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-MADANIYAH,69744667,RA,SWASTA,Kec. Dau,051830,Kab. Malang,051800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI SYIHABUDDIN,70028856,MI,SWASTA,Kec. Dau,051830,Kab. Malang,051800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS ROUDLOTUT THOLIBIN,60715031,MI,SWASTA,Kec. Dau,051830,Kab. Malang,051800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS WAHID HASYIM III,60715030,MI,SWASTA,Kec. Dau,051830,Kab. Malang,051800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
WAHID HASYIM 02 DAU,69963397,MI,SWASTA,Kec. Dau,051830,Kab. Malang,051800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
