nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
RA AL JADID,69747041,RA,SWASTA,Kec. Loceret,051404,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA AL MUBTADIIN,69747039,RA,SWASTA,Kec. Loceret,051404,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA HIDAYATUT THOLIBIN,69747043,RA,SWASTA,Kec. Loceret,051404,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA KHADIJAH MIFTAKUL ULUM,69941152,RA,SWASTA,Kec. Loceret,051404,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA MUTHOLIBIN,69747044,RA,SWASTA,Kec. Loceret,051404,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA NAHDLATUL ULAMA,70035195,RA,SWASTA,Kec. Loceret,051404,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA NURUL HUDA,69854669,RA,SWASTA,Kec. Loceret,051404,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA NURUL ISLAM,69963318,RA,SWASTA,Kec. Loceret,051404,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA PERWANIDA LOCERET,69747040,RA,SWASTA,Kec. Loceret,051404,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA TARBIYATUL ATHFAL PSM,69747045,RA,SWASTA,Kec. Loceret,051404,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL KHODIJAH,69747042,RA,SWASTA,Kec. Loceret,051404,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MA NAHDLATUL ULAMA,20584296,MA,SWASTA,Kec. Loceret,051404,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MAS PSM LOCERET,20584302,MA,SWASTA,Kec. Loceret,051404,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS NU LOCERET,60727507,MTs,SWASTA,Kec. Loceret,051404,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS PSM LOCERET,60727508,MTs,SWASTA,Kec. Loceret,051404,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI NU MOJOSARI,60717626,MI,SWASTA,Kec. Loceret,051404,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI PSM I SUGIHWARAS,60717625,MI,SWASTA,Kec. Loceret,051404,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS HIDAYATUL MUBTADIIN,60717627,MI,SWASTA,Kec. Loceret,051404,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
