nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MI AL-HIKMAH,60717671,MI,SWASTA,Kec. Rejoso,051417,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI SUNAN GIRI,70034626,MI,SWASTA,Kec. Rejoso,051417,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA AL HIKMAH,69747105,RA,SWASTA,Kec. Rejoso,051417,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA AT TAQWA,70035179,RA,SWASTA,Kec. Rejoso,051417,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA MIFTAHUSSALAM,69885217,RA,SWASTA,Kec. Rejoso,051417,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA PERWANIDA REJOSO,69747106,RA,SWASTA,Kec. Rejoso,051417,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA SABILUL HUDA,69963319,RA,SWASTA,Kec. Rejoso,051417,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA SUNAN GIRI,70028249,RA,SWASTA,Kec. Rejoso,051417,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTS MIFTAHUL HUDA REJOSO,20582452,MTs,SWASTA,Kec. Rejoso,051417,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS BAHRUL ULUM REJOSO,20582453,MTs,SWASTA,Kec. Rejoso,051417,Kab. Nganjuk,051400,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
