nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
BA AISYIYAH BUNGUR I,69743774,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA AISYIYAH BUNGUR II,69743775,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA AISYIYAH GASANG,69743776,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA AISYIYAH JATIGUNUNG I,69743777,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA AISYIYAH JATIGUNUNG II,69743778,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA AISYIYAH JATIGUNUNG III,69743779,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA AISYIYAH KALIKUNING I,69743780,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA AISYIYAH KALIKUNING II,69743781,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA AISYIYAH KALIKUNING III,69743782,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA AISYIYAH KLUWIH I,69743783,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA AISYIYAH NGLARAN I,69743784,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA AISYIYAH NGLARAN II,69743785,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA AISYIYAH NGUMBUL,69743786,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA AISYIYAH PADI II,69743787,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA AISYIYAH PADI III,69743788,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA AISYIYAH PADI IV,69743789,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA AISYIYAH TULAKAN,69743790,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA AISYIYAH WONOANTI I,69743791,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA AISYIYAH WONOANTI II,69743792,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA AISYIYAH WONOANTI III,69743793,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA KHOIRU AMANAH JETAK,69743794,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA AL HIDAYAH KLUWIH,69743796,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA AL MUTAQIN,69887611,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA AL-CHOIRIYAH 1 PADI,69743795,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA AR-ROHMAH KALIKUNING,69743797,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA BINA ISLAMI,69994106,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA DARUSSALAM,69977566,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA SALSABILA,69884943,RA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTS MA`ARIF 01 TULAKAN,60727517,MTs,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTS MA`ARIF 16 NGELO,20584850,MTs,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTS MA`ARIF 17 KALIKUNING,60727518,MTs,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTS MA`ARIF AL HIDAYAH KETRO,20584851,MTs,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTS MUHAMMADIYAH 02 TULAKAN,20584848,MTs,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTS MUHAMMADIYAH 05 KALIKUNING,20584849,MTs,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTS TERPADU AS SHIDDIEQ PADI,60727519,MTs,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTS TERPADU NURUL HUDA,69977748,MTs,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MA MA`ARIF 02 TULAKAN,20584331,MA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MA MA`ARIF KALIKUNING,20584330,MA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MA MUHAMMADIYAH 2 TULAKAN,20584327,MA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MA NURUL HUDA,70035822,MA,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI MUHAMMADIYAH BUBAKAN,60714228,MI,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI MUHAMMADIYAH BUNGUR,60714229,MI,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI MUHAMMADIYAH GASANG,60714230,MI,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI MUHAMMADIYAH JATIGUNUNG I,60714231,MI,SWASTA,Kec. Tulakan,051210,Kab. Pacitan,051200,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
