nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MIS DARUL KHAIR,60714280,MI,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS MA`ARIF NGRUPIT,60714271,MI,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS MA`ARIF PANJENG,60714272,MI,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS MA`ARIF SETONO,60714273,MI,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS MA`ARIF SINGOSAREN,60714274,MI,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS MUHAMMADIYAH 10 YANGGONG,60714276,MI,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS MUHAMMADIYAH 2 PLALANGAN,60714278,MI,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS MUHAMMADIYAH 5 WONOASRI,60714279,MI,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS MUHAMMADIYAH 6 NGLEGOK,60714275,MI,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS MUHAMMADIYAH I SIMO,60714277,MI,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS TERPADU ILHAMUL QUDUS,69963384,MI,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA `AISYIYAH JENANGAN I,69743866,RA,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA `AISYIYAH JENANGAN II,69743867,RA,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA `AISYIYAH NGLAYANG,69743868,RA,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA `AISYIYAH SIMO I,69743871,RA,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA `AISYIYAH SIMO II,69743872,RA,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA `AISYIYAH TANJUNG SARI,69743873,RA,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
BA `AISYIYAH YANGGONG,69743876,RA,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA `AISYIYAH JALI,69743865,RA,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA `AISYIYAH NGLEGOK,69743869,RA,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA `AISYIYAH PLALANGAN I,69743870,RA,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA `AISYIYAH TRENCENG,69743874,RA,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA `AISYIYAH WONOASRI,69743875,RA,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT NU 003 PANJENG I,69743877,RA,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT NU 005 SEDAH III,69743878,RA,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT NU 008 TANJUNGSARI I,69743879,RA,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT NU 009 SEMANDING 1,69743880,RA,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT NU 012 ISLAMIYAH I SEDAH,69743881,RA,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT NU 013 ISLAMIYAH II SEDAH,69743882,RA,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT NU 018 ISLAM II SEMANDING,69743883,RA,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT NU 021 PLALANGAN,69743884,RA,SWASTA,Kec. Jenangan,051119,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
