nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MI AL-HUDA,70033157,MI,SWASTA,Kec. Sawoo,051105,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI SABILIL UMMAH,69994854,MI,SWASTA,Kec. Sawoo,051105,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS NURUL HUDA,60714314,MI,SWASTA,Kec. Sawoo,051105,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS RUHUL AMIN,69927987,MI,SWASTA,Kec. Sawoo,051105,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA `AISYIYAH BONDRANG,69744003,RA,SWASTA,Kec. Sawoo,051105,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA `AISYIYAH GROGOL I,69744004,RA,SWASTA,Kec. Sawoo,051105,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA `AISYIYAH GROGOL II,69744005,RA,SWASTA,Kec. Sawoo,051105,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA `AISYIYAH GROGOL III,69744006,RA,SWASTA,Kec. Sawoo,051105,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA `AISYIYAH KORI,69744007,RA,SWASTA,Kec. Sawoo,051105,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA AISYIYAH TEMON,69994836,RA,SWASTA,Kec. Sawoo,051105,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT NU 036 NURUL HUDA,69744008,RA,SWASTA,Kec. Sawoo,051105,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT NU 186 AL-HASAN,69884944,RA,SWASTA,Kec. Sawoo,051105,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA PERWANIDA TEMON,69887612,RA,SWASTA,Kec. Sawoo,051105,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RAS ULUL ALBAB,70042183,RA,SWASTA,Kec. Sawoo,051105,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MA NURUSSIDIQ,70036288,MA,SWASTA,Kec. Sawoo,051105,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MAS AL-IMAM SAWOO,60728134,MA,SWASTA,Kec. Sawoo,051105,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MAS DARUL HIKMAH TEMON,69894843,MA,SWASTA,Kec. Sawoo,051105,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MAS MA`ARIF AL-FALAH,20584488,MA,SWASTA,Kec. Sawoo,051105,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS AL-HUDA,70010362,MTs,SWASTA,Kec. Sawoo,051105,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS AL-IMAM,20584908,MTs,SWASTA,Kec. Sawoo,051105,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS AL-MADANI,20584913,MTs,SWASTA,Kec. Sawoo,051105,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS MA`ARIF DAAR AL-HIKMAH,20584910,MTs,SWASTA,Kec. Sawoo,051105,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS MUHAMMADIYAH 10,20584911,MTs,SWASTA,Kec. Sawoo,051105,Kab. Ponorogo,051100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
