nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MTSS AL AMIN,69725415,MTs,SWASTA,Kec. Kedungdung,052706,Kab. Sampang,052700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS AL ITTIHAD,60727546,MTs,SWASTA,Kec. Kedungdung,052706,Kab. Sampang,052700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS AL JAWAHIR,20583215,MTs,SWASTA,Kec. Kedungdung,052706,Kab. Sampang,052700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS ALAMATUS SA`ADAH,20583218,MTs,SWASTA,Kec. Kedungdung,052706,Kab. Sampang,052700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS AS-SYAFI`IN,60727547,MTs,SWASTA,Kec. Kedungdung,052706,Kab. Sampang,052700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS ASSYAHIDIEN,20583270,MTs,SWASTA,Kec. Kedungdung,052706,Kab. Sampang,052700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS BABUS SALAM,60727548,MTs,SWASTA,Kec. Kedungdung,052706,Kab. Sampang,052700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS DA`WATUT TAUHID,20583227,MTs,SWASTA,Kec. Kedungdung,052706,Kab. Sampang,052700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS DARUL FALAH,60727549,MTs,SWASTA,Kec. Kedungdung,052706,Kab. Sampang,052700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS DARUL ULUM,20583228,MTs,SWASTA,Kec. Kedungdung,052706,Kab. Sampang,052700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
