nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MA ZAINUL HUDA DUKO,70034703,MA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MAS AL HIDAYAH ARJASA,20584667,MA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MAS AR RAHMAN,70044954,MA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA ABU BAKAR ASYIAH,69993323,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA AL AMIN,69977674,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA AL QUDSI,69993580,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA AN NOER,69994138,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA DAWATUL HIDAYAH,70034704,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA ISHLAHUL ULUM,69994140,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA NURUL HUDA LIL MUBTADIIN,69994139,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA NURUR RAHMAN,69977675,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA. AL - BAROKAH,69885318,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA. AL WATHANIYAH,69885316,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA. MIR ATUL HAQ,69885315,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA ABBASIYAH,69749237,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL AMIN,69749271,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-ABSHOR,69749245,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-AFKAR,69749246,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-AHMAD,69749247,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-KHAIRIYAH,69749249,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-MAARIF,69749250,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA ALFUTUHIYYAH,69749251,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA ANNAJAH,69749252,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA AR RAHMAN,69749238,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA AR-RAHMAN,69749253,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA AS-SALAM,69749244,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA ASSILMI,69749254,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA DARUL FALAH,69749255,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA IYATUL ATFAL,69749256,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA MABDAUL ISLAM,69749257,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA MAMBAUL HIKAM,69749258,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA MAMBAUL ULUM,69749239,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA MIFTAHUL ULUM,69749259,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA NURUL HIKMAH,69749260,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA NURUL HUDA,69749240,RA,SWASTA,Kec. Arjasa,052824,Kab. Sumenep,052800,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
