nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MAS AL AMIN,20580051,MA,SWASTA,Kec. Blimbing,056104,Kota Malang,056100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS AR RIDLO,69983045,MI,SWASTA,Kec. Blimbing,056104,Kota Malang,056100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS DARUSSALAM,60720750,MI,SWASTA,Kec. Blimbing,056104,Kota Malang,056100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS KH HASYIM ASYARI,60720751,MI,SWASTA,Kec. Blimbing,056104,Kota Malang,056100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS MINU MAUDLUUL ULUM,60720752,MI,SWASTA,Kec. Blimbing,056104,Kota Malang,056100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS MINU POLOWIJEN,60720753,MI,SWASTA,Kec. Blimbing,056104,Kota Malang,056100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS NURUL ULUM,60720754,MI,SWASTA,Kec. Blimbing,056104,Kota Malang,056100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTS AR-ROYYAN,69977805,MTs,SWASTA,Kec. Blimbing,056104,Kota Malang,056100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS AL AMIN,20583799,MTs,SWASTA,Kec. Blimbing,056104,Kota Malang,056100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS HASYIM ASYARI,20583800,MTs,SWASTA,Kec. Blimbing,056104,Kota Malang,056100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
TA AR RIDLO,69749741,RA,SWASTA,Kec. Blimbing,056104,Kota Malang,056100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
TA PKK AL FATH,69749744,RA,SWASTA,Kec. Blimbing,056104,Kota Malang,056100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA AL JIHAD,69749732,RA,SWASTA,Kec. Blimbing,056104,Kota Malang,056100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA BAIPAS ROUDLOTUL JANNAH,69749733,RA,SWASTA,Kec. Blimbing,056104,Kota Malang,056100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA HIMMATUL MURIIDIIN,69994621,RA,SWASTA,Kec. Blimbing,056104,Kota Malang,056100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA ITTIHADUL MUBALLIGHIN,69749734,RA,SWASTA,Kec. Blimbing,056104,Kota Malang,056100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA MIFTAHUL HUDA,69749735,RA,SWASTA,Kec. Blimbing,056104,Kota Malang,056100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT NU 13,69749736,RA,SWASTA,Kec. Blimbing,056104,Kota Malang,056100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT NU 17,69749737,RA,SWASTA,Kec. Blimbing,056104,Kota Malang,056100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA. AT-TIBYAN,69885361,RA,SWASTA,Kec. Blimbing,056104,Kota Malang,056100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA. RUMAH RAHIL,69885362,RA,SWASTA,Kec. Blimbing,056104,Kota Malang,056100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
TA AL-JABBAR,69749738,RA,SWASTA,Kec. Blimbing,056104,Kota Malang,056100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
TA AL-QURAN PLUS ALAA NURIYAH,69885367,RA,SWASTA,Kec. Blimbing,056104,Kota Malang,056100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
TA AR-ROCHMAH,69749740,RA,SWASTA,Kec. Blimbing,056104,Kota Malang,056100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
TA BAITURROHMAN,69749743,RA,SWASTA,Kec. Blimbing,056104,Kota Malang,056100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
TA CUT NYAK DIEN,69749739,RA,SWASTA,Kec. Blimbing,056104,Kota Malang,056100,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
