nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
RA AL HAKIM,69885370,RA,SWASTA,Kec. Kanigaran,056705,Kota Probolinggo,056700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA AL-HIKMAH,69749824,RA,SWASTA,Kec. Kanigaran,056705,Kota Probolinggo,056700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA AMNA,70034515,RA,SWASTA,Kec. Kanigaran,056705,Kota Probolinggo,056700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA AS-SHIDDIQI,69749825,RA,SWASTA,Kec. Kanigaran,056705,Kota Probolinggo,056700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA AZ-ZAHRO,69749826,RA,SWASTA,Kec. Kanigaran,056705,Kota Probolinggo,056700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA BAITUL MULIA,70035463,RA,SWASTA,Kec. Kanigaran,056705,Kota Probolinggo,056700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA GENIUS TAHFIDZ & MULTIMEDIA,70058688,RA,SWASTA,Kec. Kanigaran,056705,Kota Probolinggo,056700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA HIDAYAT,69749830,RA,SWASTA,Kec. Kanigaran,056705,Kota Probolinggo,056700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA MASYITOH 2,69749827,RA,SWASTA,Kec. Kanigaran,056705,Kota Probolinggo,056700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
RA/BA/TA MIFTAHUL ULUM,69749828,RA,SWASTA,Kec. Kanigaran,056705,Kota Probolinggo,056700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MI AL-AZIZ,70042725,MI,SWASTA,Kec. Kanigaran,056705,Kota Probolinggo,056700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS AL-QUR`ANUL HAKIM,60720805,MI,SWASTA,Kec. Kanigaran,056705,Kota Probolinggo,056700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS HIDAYAT,60720807,MI,SWASTA,Kec. Kanigaran,056705,Kota Probolinggo,056700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS MIFTAHUL ULUM,60720809,MI,SWASTA,Kec. Kanigaran,056705,Kota Probolinggo,056700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS NUR - AZIZ,60720808,MI,SWASTA,Kec. Kanigaran,056705,Kota Probolinggo,056700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MIS ZAINUL YASIN,60720806,MI,SWASTA,Kec. Kanigaran,056705,Kota Probolinggo,056700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MAN 2 KOTA PROBOLINGGO,20584156,MA,NEGERI,Kec. Kanigaran,056705,Kota Probolinggo,056700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MAS  HIDAYAT,69881496,MA,SWASTA,Kec. Kanigaran,056705,Kota Probolinggo,056700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MAS RAUDLATUL HASANIYAH,20584161,MA,SWASTA,Kec. Kanigaran,056705,Kota Probolinggo,056700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTS FAIDLUR ROBBANI,70029252,MTs,SWASTA,Kec. Kanigaran,056705,Kota Probolinggo,056700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSN KOTA PROBOLINGGO,20583831,MTs,NEGERI,Kec. Kanigaran,056705,Kota Probolinggo,056700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS HIDAYAT,20583832,MTs,SWASTA,Kec. Kanigaran,056705,Kota Probolinggo,056700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS UNGGULAN TUNAS BANGSA,20583833,MTs,SWASTA,Kec. Kanigaran,056705,Kota Probolinggo,056700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
MTSS ZAINUL ISHLAH,69963493,MTs,SWASTA,Kec. Kanigaran,056705,Kota Probolinggo,056700,Prov. Jawa Timur,050000,0,0,0,0,0,0,0,0,,
