nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MTSS AL HIKMAH,69941532,MTs,SWASTA,Kec. Aluh-Aluh,150101,Kab. Banjar,150100,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MTSS DARUL MUBTADIIN,30315273,MTs,SWASTA,Kec. Aluh-Aluh,150101,Kab. Banjar,150100,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MTSS HAYATUL ISLAM,69854104,MTs,SWASTA,Kec. Aluh-Aluh,150101,Kab. Banjar,150100,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MTSS HIDAYATULLAH,69854105,MTs,SWASTA,Kec. Aluh-Aluh,150101,Kab. Banjar,150100,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MTSS MINAL ILMI,69854106,MTs,SWASTA,Kec. Aluh-Aluh,150101,Kab. Banjar,150100,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MAN 5 BANJAR,30315521,MA,NEGERI,Kec. Aluh-Aluh,150101,Kab. Banjar,150100,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MAS AL-HUDA,30305293,MA,SWASTA,Kec. Aluh-Aluh,150101,Kab. Banjar,150100,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
RA HARAPAN IBU,69885862,RA,SWASTA,Kec. Aluh-Aluh,150101,Kab. Banjar,150100,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
RA MELATI,69885866,RA,SWASTA,Kec. Aluh-Aluh,150101,Kab. Banjar,150100,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
RA NUR IQRO,69885865,RA,SWASTA,Kec. Aluh-Aluh,150101,Kab. Banjar,150100,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
RA. MULIA,69885864,RA,SWASTA,Kec. Aluh-Aluh,150101,Kab. Banjar,150100,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MIN 19 BANJAR,60722808,MI,NEGERI,Kec. Aluh-Aluh,150101,Kab. Banjar,150100,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MIN 7 BANJAR,60722805,MI,NEGERI,Kec. Aluh-Aluh,150101,Kab. Banjar,150100,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MIS AL MUNAWWARAH,60722806,MI,SWASTA,Kec. Aluh-Aluh,150101,Kab. Banjar,150100,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MIS AT-TAQWA,60722804,MI,SWASTA,Kec. Aluh-Aluh,150101,Kab. Banjar,150100,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MIS HIDAYATUL ULUM,60722807,MI,SWASTA,Kec. Aluh-Aluh,150101,Kab. Banjar,150100,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MIS HIDAYATULLAH,69856279,MI,SWASTA,Kec. Aluh-Aluh,150101,Kab. Banjar,150100,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MIS HIDAYATUSSHIBYAN,69856278,MI,SWASTA,Kec. Aluh-Aluh,150101,Kab. Banjar,150100,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
