nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MAN 1 HULU SUNGAI UTARA,30315549,MA,NEGERI,Kec. Amuntai Tengah,150705,Kab. Hulu Sungai Utara,150700,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MAN 2 HULU SUNGAI UTARA,30315550,MA,NEGERI,Kec. Amuntai Tengah,150705,Kab. Hulu Sungai Utara,150700,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MAS DARUL ULUM,30315551,MA,SWASTA,Kec. Amuntai Tengah,150705,Kab. Hulu Sungai Utara,150700,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MAS DARUSSALAM,30315552,MA,SWASTA,Kec. Amuntai Tengah,150705,Kab. Hulu Sungai Utara,150700,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MTSN 2 HULU SUNGAI UTARA,30315392,MTs,NEGERI,Kec. Amuntai Tengah,150705,Kab. Hulu Sungai Utara,150700,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MTSS DARUL ULUM,30315394,MTs,SWASTA,Kec. Amuntai Tengah,150705,Kab. Hulu Sungai Utara,150700,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MTSS DARUSSALAM,30315393,MTs,SWASTA,Kec. Amuntai Tengah,150705,Kab. Hulu Sungai Utara,150700,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MIN 20 HULU SUNGAI UTARA,60723022,MI,NEGERI,Kec. Amuntai Tengah,150705,Kab. Hulu Sungai Utara,150700,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MIN 8 HULU SUNGAI UTARA,60723020,MI,NEGERI,Kec. Amuntai Tengah,150705,Kab. Hulu Sungai Utara,150700,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MIN 9 HULU SUNGAI UTARA,60723021,MI,NEGERI,Kec. Amuntai Tengah,150705,Kab. Hulu Sungai Utara,150700,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MIS AL-FALAH,60723025,MI,SWASTA,Kec. Amuntai Tengah,150705,Kab. Hulu Sungai Utara,150700,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MIS AL-MUSLIMUN,60723026,MI,SWASTA,Kec. Amuntai Tengah,150705,Kab. Hulu Sungai Utara,150700,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MIS DARUL ULUM PUTERA,60723023,MI,SWASTA,Kec. Amuntai Tengah,150705,Kab. Hulu Sungai Utara,150700,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MIS DARUL ULUM PUTERI,60723024,MI,SWASTA,Kec. Amuntai Tengah,150705,Kab. Hulu Sungai Utara,150700,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MIS NASHRUL UMMAT,60723027,MI,SWASTA,Kec. Amuntai Tengah,150705,Kab. Hulu Sungai Utara,150700,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
