nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MAS ASY SYAFI IYAH,30315563,MA,SWASTA,Kec. Sungai Pandan,150703,Kab. Hulu Sungai Utara,150700,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MAS BUSTANUL ULUM,30315562,MA,SWASTA,Kec. Sungai Pandan,150703,Kab. Hulu Sungai Utara,150700,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MAS MU ALLIMIN ALABIO,30315561,MA,SWASTA,Kec. Sungai Pandan,150703,Kab. Hulu Sungai Utara,150700,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
RA/BA/TA BAITUL MU MININ,69750853,RA,SWASTA,Kec. Sungai Pandan,150703,Kab. Hulu Sungai Utara,150700,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
RA/BA/TA BUSATANUL ULUM 2,69750854,RA,SWASTA,Kec. Sungai Pandan,150703,Kab. Hulu Sungai Utara,150700,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
RA/BA/TA BUSTANUL ULUM 1,69750855,RA,SWASTA,Kec. Sungai Pandan,150703,Kab. Hulu Sungai Utara,150700,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
RA/BA/TA DARUL FAJERI,69750856,RA,SWASTA,Kec. Sungai Pandan,150703,Kab. Hulu Sungai Utara,150700,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
RA/BA/TA DARUL MA`ARIF,69750857,RA,SWASTA,Kec. Sungai Pandan,150703,Kab. Hulu Sungai Utara,150700,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
RA/BA/TA DARUSSALAM,69750858,RA,SWASTA,Kec. Sungai Pandan,150703,Kab. Hulu Sungai Utara,150700,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
RA/BA/TA MNU AL-ISTIQAMAH,69750859,RA,SWASTA,Kec. Sungai Pandan,150703,Kab. Hulu Sungai Utara,150700,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
