nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
RA FAJAR ISLAM,70031194,RA,SWASTA,Kec. Pulau Laut Utara,150906,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
RA RAUDATHUL ATHFAL TAHFIDZI,69976472,RA,SWASTA,Kec. Pulau Laut Utara,150906,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL IKHLAS,69750731,RA,SWASTA,Kec. Pulau Laut Utara,150906,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL MADANI,69750733,RA,SWASTA,Kec. Pulau Laut Utara,150906,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
RA/BA/TA AR-RAHMAN,69750734,RA,SWASTA,Kec. Pulau Laut Utara,150906,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
RA/BA/TA ASY-SYAFI`IYAH,69750735,RA,SWASTA,Kec. Pulau Laut Utara,150906,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
RA/BA/TA MANBAUL ULUM,69750736,RA,SWASTA,Kec. Pulau Laut Utara,150906,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
RA/BA/TA NU. DARUL ULUM,69750738,RA,SWASTA,Kec. Pulau Laut Utara,150906,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MTSN 1 KOTABARU,30315266,MTs,NEGERI,Kec. Pulau Laut Utara,150906,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MTSN 2 KOTABARU,30315267,MTs,NEGERI,Kec. Pulau Laut Utara,150906,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MTSS DARUL ULUM KOTABARU,30315268,MTs,SWASTA,Kec. Pulau Laut Utara,150906,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MTSS RAUDHATUL JANNAH,30315269,MTs,SWASTA,Kec. Pulau Laut Utara,150906,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MIN 1 KOTABARU,60722795,MI,NEGERI,Kec. Pulau Laut Utara,150906,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MIS AL-MUSLIMUN,69756285,MI,SWASTA,Kec. Pulau Laut Utara,150906,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MIS ASY-SYAFI`IYAH,60722800,MI,SWASTA,Kec. Pulau Laut Utara,150906,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MIS DARUL ULUM KOTABARU,60722796,MI,SWASTA,Kec. Pulau Laut Utara,150906,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MIS KARYA PEMBANGUNAN,60722799,MI,SWASTA,Kec. Pulau Laut Utara,150906,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MIS RAUDHATUL JANNAH,60722798,MI,SWASTA,Kec. Pulau Laut Utara,150906,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MIS SULLAMUL ULUM,60722797,MI,SWASTA,Kec. Pulau Laut Utara,150906,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MAN KOTABARU,30315581,MA,NEGERI,Kec. Pulau Laut Utara,150906,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MAS DARUL ULUM KOTABARU,30315582,MA,SWASTA,Kec. Pulau Laut Utara,150906,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MADINATUL ILMI,69963567,MA,SWASTA,Kec. Pulau Laut Kepulauan,150921,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MTSS DDI AL KAUTSAR,30315264,MTs,SWASTA,Kec. Pulau Laut Kepulauan,150921,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MTSS JIHADUT THOLIBIN,30315263,MTs,SWASTA,Kec. Pulau Laut Kepulauan,150921,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
RA/BA/TA DARUL IQRA,69750720,RA,SWASTA,Kec. Kelumpang Hilir,150908,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MTSS SABIILUL MUTTAQIIN,30315258,MTs,SWASTA,Kec. Kelumpang Hilir,150908,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MTSS NURUL MUSTHAFA,30315259,MTs,SWASTA,Kec. Kelumpang Hulu,150913,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MIN 2 KOTABARU,60722794,MI,NEGERI,Kec. Pulau Laut Selatan,150903,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MAS DARUL MUTA`ALLIMIN,70008690,MA,SWASTA,Kec. Pulau Laut Selatan,150903,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MTSS RAUDHATUL ULUM,30315265,MTs,SWASTA,Kec. Pulau Laut Selatan,150903,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MTSS AS`ADIYAH AHSANU AMALA,70008693,MTs,SWASTA,Kec. Pulau Laut Tengah,150907,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL HADI,69750723,RA,SWASTA,Kec. Pulau Laut Tengah,150907,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
RA/BA/TA AN NUR,69750724,RA,SWASTA,Kec. Pulau Laut Tengah,150907,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
RA/BA/TA AULIA SEMBEGA,69750726,RA,SWASTA,Kec. Pulau Laut Tengah,150907,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
RA/BA/TA SABILUL ANWAR,69750727,RA,SWASTA,Kec. Pulau Laut Tengah,150907,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MA AS'ADIYAH AHSANU AMALA,70058761,MA,SWASTA,Kec. Pulau Laut Tengah,150907,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MAS DARUL ULUM LONTAR,69941821,MA,SWASTA,Kec. Pulau Laut Barat,150902,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
MTSS DARUL ULUM LONTAR,30315260,MTs,SWASTA,Kec. Pulau Laut Barat,150902,Kab. Kotabaru,150900,Prov. Kalimantan Selatan,150000,0,0,0,0,0,0,0,0,,
