nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
RA AL HAFIDZ,69864972,RA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
RA ASHAABUL KAHFI,69864967,RA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
RA ASMAH AL HAMID,69864958,RA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
RA DARUL MUQOMAH,69864952,RA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
RA IMADUN GHOFFAR,69864955,RA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
RA INSAN HARAPAN,69864961,RA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
RA MARI TAQWA BATAM,69864948,RA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
RA. ZAMZAM DARUSSALAM,69887470,RA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL FIKRI,69732252,RA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL HIJRAH,69732253,RA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL JANNATUL  ILMI,69732241,RA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL MUHAJIRIN,69732254,RA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL MUKMIN,69732242,RA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL UKHUWAH,69732255,RA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
RA/BA/TA ALIF,69732243,RA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
RA/BA/TA AN NUR,69732256,RA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
RA/BA/TA AS SAKINAH,69732245,RA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
RA/BA/TA BAITUR ROZZAQ,69732257,RA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
RA/BA/TA DARUL IHSAN,69732258,RA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
RA/BA/TA DARUL MUBTADI,69732247,RA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
RA/BA/TA INSAN KAMIL,69732259,RA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
RA/BA/TA ISLAM PERDANA,69732248,RA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
RA/BA/TA JAMIATUL JANNAH,69732260,RA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
RA/BA/TA MIFTAHUL JANNAH,69732249,RA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
RA/BA/TA NURUL HAQ,69732250,RA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
RA/BA/TA RAUDLATUL QUR AN 2,69732251,RA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
MAN BATAM,11003325,MA,NEGERI,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
MAS AN NI`MAH,11003326,MA,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
MTSN 3 KOTA BATAM,70059233,MTs,NEGERI,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
MTSS AL UKHUWAH,40503223,MTs,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
MTSS AL-MADINAH,40503222,MTs,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
MI IMADUN GHOFFAR,69976013,MI,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
MIN 2 BATAM,60706108,MI,NEGERI,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
MIS AL-UKHUWAH,69854307,MI,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
MIS DARUL GHUFRON,60706109,MI,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
MIS DARUL IHSAN,60706111,MI,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
MIS DAUD KHOLIFATULLOH,60706110,MI,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
MIS RAUDHATUL ILMI,69819488,MI,SWASTA,Kec. Sagulung,316013,Kota Batam,316000,Prov. Kepulauan Riau,310000,0,0,0,0,0,0,0,0,,
