nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
RA GUPPI 03 BUMIDAYA,69995113,RA,SWASTA,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MAS AL FURQON,10816250,MA,SWASTA,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MAS TERPADU USHULUDDIN,10816249,MA,SWASTA,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MTS MIFTAHUL HUDA,70027757,MTs,SWASTA,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MTSS AL FURQON RAWI,10816510,MTs,SWASTA,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MTSS AL KHAIRIYAH,10816512,MTs,SWASTA,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MTSS AL MUNAWAROH 2 PISANG,10816514,MTs,SWASTA,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MTSS MATHLAUL FALAH,10816511,MTs,SWASTA,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MTSS TERPADU USHULUDDIN,10816513,MTs,SWASTA,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MIS MATHLAUL ANWAR,60705427,MI,SWASTA,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MIS MATHLAUL FALAH,60705430,MI,SWASTA,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MIS MIFTAHUL HUDA,60705432,MI,SWASTA,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MIS NURUL HIDAYAH,60705431,MI,SWASTA,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MIS SYARIF HIDAYATULLAH,70042351,MI,SWASTA,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MIS TARBIYATUL ATHFAL,60705428,MI,SWASTA,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MIS TERPADU USHULUDDIN,60705433,MI,SWASTA,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MIS USWATUN HASANAH,60705425,MI,SWASTA,Kec. Penengahan,120113,Kab. Lampung Selatan,120100,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
