nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MAS AL- MADINAH,10816306,MA,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MAS DARUL ISTIQOMAH,10816305,MA,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MI HIDAYATUL MUBTADI`IN,70031913,MI,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MIS AL KHOIRIYAH,60705724,MI,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MIS DARUL ISTIQOMAH,60705726,MI,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MIS DARUL ISTIQOMAH 2,69883377,MI,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MIS DARUL ULUM,60705723,MI,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MIS DARUN NAJAH,60705728,MI,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MIS MADINAH,60705747,MI,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MIS MIFTAHUL ULUM,60705725,MI,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MIS NURUL IMAN,60705727,MI,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MIS NURUL MUBIN,60705729,MI,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
RA AL IHSAN,69731919,RA,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
RA AL MUKHLISIN,69731920,RA,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
RA AT TAQWA,69731921,RA,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
RA BAITUL MAWADAH WAROHMAH,69731922,RA,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
RA DARUL ISTIQOMAH,69731923,RA,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
RA DARUL ISTIQOMAH 2,69897636,RA,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
RA HIDAYATUL MUBTADI`IN,69993591,RA,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
RA MADINAH,69731926,RA,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
RA MIFTAHUL HUDA,69995555,RA,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
RA NURUL HIKMAH,69731927,RA,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
RA NURUL IMAN,69731928,RA,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
RA NURUL IMAN  03 KARYA TANI,69897637,RA,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
RA NURUL MUBIN,69731930,RA,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MTSS AL IHSAN,10816772,MTs,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MTSS DARUL HIDAYAH,10816774,MTs,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MTSS DARUL ISTIQOMAH,60730294,MTs,SWASTA,Kec. Labuhan Maringgai,120707,Kab. Lampung Timur,120700,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
