nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
RA AL IKHLAS,69854534,RA,SWASTA,Kec. Bukit Kemuning,120301,Kab. Lampung Utara,120300,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
RA DARUL HUDA ASSYAFI`IYAH MATHLA`UL ANWAR,69957915,RA,SWASTA,Kec. Bukit Kemuning,120301,Kab. Lampung Utara,120300,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
RA SURYA AHMAD FAHRI,69995522,RA,SWASTA,Kec. Bukit Kemuning,120301,Kab. Lampung Utara,120300,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MTSS AL-MUBAROK,69983140,MTs,SWASTA,Kec. Bukit Kemuning,120301,Kab. Lampung Utara,120300,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MTSS AS SYAHRA,69955865,MTs,SWASTA,Kec. Bukit Kemuning,120301,Kab. Lampung Utara,120300,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MTSS DARUL HUDA,69726333,MTs,SWASTA,Kec. Bukit Kemuning,120301,Kab. Lampung Utara,120300,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MTSS FUTUHIYYAH 2,69726335,MTs,SWASTA,Kec. Bukit Kemuning,120301,Kab. Lampung Utara,120300,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MTSS FUTUHIYYAH I,69726755,MTs,SWASTA,Kec. Bukit Kemuning,120301,Kab. Lampung Utara,120300,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MTSS HIDAYATUL QUR`AN,69787288,MTs,SWASTA,Kec. Bukit Kemuning,120301,Kab. Lampung Utara,120300,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MTSS NURUL FALAH,69881632,MTs,SWASTA,Kec. Bukit Kemuning,120301,Kab. Lampung Utara,120300,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MTSS NURUL IMAN,69726754,MTs,SWASTA,Kec. Bukit Kemuning,120301,Kab. Lampung Utara,120300,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MIS DARUL HIKMATUL KHAIR,69956113,MI,SWASTA,Kec. Bukit Kemuning,120301,Kab. Lampung Utara,120300,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MIS FUTUHIYYAH 2,60705554,MI,SWASTA,Kec. Bukit Kemuning,120301,Kab. Lampung Utara,120300,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MIS NURUL FALAH,69726281,MI,SWASTA,Kec. Bukit Kemuning,120301,Kab. Lampung Utara,120300,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MIS NURUL IMAN,69726282,MI,SWASTA,Kec. Bukit Kemuning,120301,Kab. Lampung Utara,120300,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MAS AL MUBAROK,69955644,MA,SWASTA,Kec. Bukit Kemuning,120301,Kab. Lampung Utara,120300,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MAS DARUL HUDA,69728155,MA,SWASTA,Kec. Bukit Kemuning,120301,Kab. Lampung Utara,120300,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MAS FUTUHIYYAH I,69728160,MA,SWASTA,Kec. Bukit Kemuning,120301,Kab. Lampung Utara,120300,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
MAS FUTUHIYYAH II,69728161,MA,SWASTA,Kec. Bukit Kemuning,120301,Kab. Lampung Utara,120300,Prov. Lampung,120000,0,0,0,0,0,0,0,0,,
