nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
AL - MUZAKARAH,69894931,MA,SWASTA,Kec. Jailolo Selatan,270305,Kab. Halmahera Barat,270300,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
ALKHAIRAAT SIDANGOLI,69894930,MA,SWASTA,Kec. Jailolo Selatan,270305,Kab. Halmahera Barat,270300,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MAN INSAN CENDEKIA HALMAHERA BARAT,69975867,MA,NEGERI,Kec. Jailolo Selatan,270305,Kab. Halmahera Barat,270300,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MIN 1 HALMAHERA BARAT,60724530,MI,NEGERI,Kec. Jailolo Selatan,270305,Kab. Halmahera Barat,270300,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MIS ALKHAIRAAT SIDANGOLI,60724528,MI,SWASTA,Kec. Jailolo Selatan,270305,Kab. Halmahera Barat,270300,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MIS NURUL BAHRI,60724531,MI,SWASTA,Kec. Jailolo Selatan,270305,Kab. Halmahera Barat,270300,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MIS SIDANGOLI,60724529,MI,SWASTA,Kec. Jailolo Selatan,270305,Kab. Halmahera Barat,270300,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
RA BAKTI SIDANGOLI,69977212,RA,SWASTA,Kec. Jailolo Selatan,270305,Kab. Halmahera Barat,270300,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
RA NURUL BAHRI TONIKU,69977211,RA,SWASTA,Kec. Jailolo Selatan,270305,Kab. Halmahera Barat,270300,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
RA NURUL FURQAN TATALEKA,69977210,RA,SWASTA,Kec. Jailolo Selatan,270305,Kab. Halmahera Barat,270300,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
RA NURUL HIDAYAH,69977209,RA,SWASTA,Kec. Jailolo Selatan,270305,Kab. Halmahera Barat,270300,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
AL - HUDA SIDANGOLI,69895279,MTs,SWASTA,Kec. Jailolo Selatan,270305,Kab. Halmahera Barat,270300,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
ALKHAIRAAT SIDANGOLI,69895280,MTs,SWASTA,Kec. Jailolo Selatan,270305,Kab. Halmahera Barat,270300,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
BABINGKAS TONIKU,69895281,MTs,SWASTA,Kec. Jailolo Selatan,270305,Kab. Halmahera Barat,270300,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
NURUL FURQAN TATALEKA,69895282,MTs,SWASTA,Kec. Jailolo Selatan,270305,Kab. Halmahera Barat,270300,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
